franchise,movie
Terminator,Terminator Salvation (2009)
Terminator,Terminator Genisys (2015)
Terminator,Terminator: Dark Fate (2019)
The Addams Family,The Addams Family (1991)
The Addams Family,Addams Family Values (1993)
The Addams Family,Addams Family Reunion (1998)
The Addams Family,The Addams Family (2019)
The Addams Family,The Addams Family 2 (2021)
The Amazing Spider-Man Duology,The Amazing Spider-Man (2012)
The Amazing Spider-Man Duology,The Amazing Spider-Man 2 (2014)
The Chronicles of Narnia (Film Trilogy),"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)"
The Chronicles of Narnia (Film Trilogy),The Chronicles of Narnia: Prince Caspian (2008)
The Chronicles of Narnia (Film Trilogy),The Chronicles of Narnia: The Voyage of the Dawn Treader (2010)
The Conjuring,The Conjuring (2013)
The Conjuring,Annabelle (2014)
The Conjuring,The Conjuring 2 (2016)
The Conjuring,Annabelle: Creation (2017)
The Conjuring,The Nun (2018)
The Conjuring,Annabelle Comes Home (2019)
The Conjuring,The Conjuring: The Devil Made Me Do It (2021)
The Conjuring,The Nun II (2023)
The Cornetto Trilogy,Shaun of the Dead (2004)
The Cornetto Trilogy,Hot Fuzz (2007)
The Cornetto Trilogy,The World's End (2013)
The Croods (Franchise),The Croods (2013)
The Croods (Franchise),The Croods: A New Age (2020)
The Dark Knight Trilogy (2005),Batman Begins (2005)
The Dark Knight Trilogy (2005),The Dark Knight (2008)
The Dark Knight Trilogy (2005),The Dark Knight Rises (2012)
The Dollars Trilogy,A Fistful of Dollars (1964)
The Dollars Trilogy,For a Few Dollars More (1965)
The Dollars Trilogy,"The Good, the Bad and the Ugly (1966)"
The Fast and the Furious (Film Franchise),The Fast and the Furious (2001)
The Fast and the Furious (Film Franchise),2 Fast 2 Furious (2003)
The Fast and the Furious (Film Franchise),The Fast and the Furious: Tokyo Drift (2006)
The Fast and the Furious (Film Franchise),Fast & Furious (2009)
The Fast and the Furious (Film Franchise),Fast Five (2011)
The Fast and the Furious (Film Franchise),Fast & Furious 6 (2013)
The Fast and the Furious (Film Franchise),Furious 7 (2015)
The Fast and the Furious (Film Franchise),The Fate of the Furious (2017)
The Fast and the Furious (Film Franchise),Hobbs & Shaw (2019)
The Fast and the Furious (Film Franchise),F9 (2021)
The Fast and the Furious (Film Franchise),Fast X (2023)
The Hangover Trilogy,The Hangover (2009)
The Hangover Trilogy,The Hangover Part II (2011)
