char,movie,mbti,votes
Drax,MCU,ESTP,1300
"Clint Barton ""Hawkeye""",MCU,ISTP,1300
Gamora,MCU,ISTJ,1300
King T’Challa “Black Panther”,MCU,ISFJ,1300
Li Shang,Mulan (Franchise),ESTJ,1300
Jack Frost,Rise of the Guardians (2012),ESTP,1300
Billy Loomis,Scream (Franchise),ISTP,1300
22,Soul (2020),ESTP,1300
Celine,The Before Trilogy,INFP,1300
Judge Claude Frollo,The Hunchback of Notre Dame (1996),INTJ,1300
Helen Parr “Elastigirl”,The Incredibles (Franchise),ESTJ,1300
Buddy Pine “Syndrome”,The Incredibles (Franchise),ENFP,1300
"Samwise ""Sam"" Gamgee",The Lord of the Rings (Film Trilogy),ISFJ,1300
Sally,The Nightmare Before Christmas (1993),INFJ,1300
Charlotte “Lottie” LaBouff,The Princess and the Frog (2009),ESFP,1300
Alice Cullen,Twilight (Franchise),ENFP,1300
Venom,Venom (2018),ESTP,1300
Peter Maximoff “Quicksilver”,X-Men Cinematic Universe (2011-2020),ENTP,1300
Lightning McQueen,Cars (Franchise),ESTP,1200
"Wyborne ""Wybie"" Lovat",Coraline (2009),ENTP,1200
Diana Prince “Wonder Woman”,DC Extended Universe,ENFJ,1200
Susanna Kaysen,"Girl, Interrupted (1999)",INFP,1200
Tom Riddle,Harry Potter / Wizarding World Films,INTJ,1200
Ginny Weasley,Harry Potter / Wizarding World Films,ISFJ,1200
Gellert Grindelwald,Harry Potter / Wizarding World Films,INFJ,1200
Sharpay Evans,High School Musical (Film Trilogy),ENTJ,1200
Master Shifu,Kung Fu Panda (Franchise),ISTJ,1200
Alex the Lion,Madagascar (Franchise),ESFP,1200
Mantis,MCU,INFP,1200
Kim Ki-jeong,Parasite (2019),ISTP,1200
Peter Pan,Peter Pan (1953),ENFP,1200
Pocahontas,Pocahontas (1995),ISFP,1200
Sherlock Holmes,Sherlock Holmes,ENTP,1200
Princess Fiona,Shrek (Franchise),ESFJ,1200
Brian Johnson,The Breakfast Club (1985),ISFJ,1200
Nadine Franklin,The Edge of Seventeen (2016),INFP,1200
Bob Parr “Mr. Incredible”,The Incredibles (Franchise),ESFP,1200
Simba,The Lion King (Franchise),ESFP,1200
Vidia,Tinker Bell (2008),ISTJ,1200
Jack Dawson,Titanic (1997),ESFP,1200
"Logan ""Wolverine""",X-Men Cinematic Universe (2000-2009),ISTP,1200
Aladdin,Aladdin (1992),ESFP,1100
The Cat,Coraline (2009),ISTP,1100
Dr. Randall Mindy,Don’t Look Up (2021),INTP,1100
The Driver,Drive (2011),ISTP,1100
Ember Lumen,Elemental,ESTJ,1100
Joel Barish,Eternal Sunshine of the Spotless Mind (2004),ISFJ,1100
Waymond Wang,Everything Everywhere All At Once,INFP,1100
Dory,Finding Nemo (Franchise),ENFP,1100
Marlin,Finding Nemo (Franchise),ISTJ,1100
Fred Weasley,Harry Potter / Wizarding World Films,ENTP,1100
George Weasley,Harry Potter / Wizarding World Films,ENTP,1100
Minerva McGonagall,Harry Potter / Wizarding World Films,ISTJ,1100
Heather Chandler,Heathers (1989),ESTJ,1100
Pennywise,It (2017),ENTP,1100
Benoit Blanc,Knives Out (2019),INTJ,1100
Margaret “Meg” March,Little Women (2019),ESFJ,1100
Private / Mr. Tux,Madagascar (Franchise),INFP,1100
M3GAN,Megan (2023),ENTJ,1100
Mia Wallace,Pulp Fiction (1994),ENTP,1100
Alfredo Linguini,Ratatouille (2007),INFP,1100
Raya,Raya and the Last Dragon (2021),ISTP,1100
Joe Gardner,Soul (2020),ISFP,1100
Jesse Wallace,The Before Trilogy,ENTP,1100
John Bender,The Breakfast Club (1985),ESTP,1100
Miranda Priestly,The Devil Wears Prada (2006),ENTJ,1100
Haymitch Abernathy,The Hunger Games (Franchise),INTP,1100
"Edna Marie Mode/""E""",The Incredibles (Franchise),ENTJ,1100
Mufasa,The Lion King (Franchise),ENFJ,1100
Katie Mitchell,The Mitchells vs. the Machines (2021),ENFP,1100
Andy Dufresne,The Shawshank Redemption (1994),INTJ,1100
Bowser,The Super Mario Bros. Movie (2023),ESFP,1100
Mario,The Super Mario Bros. Movie (2023),ESFP,1100
Cheshire Cat,Alice in Wonderland (1951),ENTP,1000
Alvin Seville,Alvin And The Chipmunks (2007),ESTP,1000
Neteyam,Avatar (Franchise),INFJ,1000
Lily / The Black Swan,Black Swan (2010),ESTP,1000
Veruca Salt,Charlie and the Chocolate Factory (2005),ESTJ,1000
Charlie “Nuwanda” Dalton,Dead Poets Society (1989),ENTP,1000
Evelyn Wang,Everything Everywhere All At Once,ESTJ,1000
Jobu Tupaki,Everything Everywhere All At Once,ISFP,1000
Ferris Bueller,Ferris Bueller's Day Off (1986),ENTP,1000
Indiana Jones,Indiana Jones (Series),ISTP,1000
"Marc Spector ""Moon Knight""",MCU,ISTP,1000
Nebula,MCU,ISTJ,1000
Metro Man,Megamind (2010),ENFJ,1000
Mushu,Mulan (Franchise),ENTP,1000
Nimona,Nimona (2023),ESFP,1000
Oliver Quick,Saltburn,INFJ,1000
Ramona Flowers,Scott Pilgrim vs. the World (2010),ISTP,1000
Qui-Gon Jinn,Star Wars,INFJ,1000
Morticia Addams,The Addams Family,INFJ,1000
Daniel LaRusso,The Karate Kid (Franchise),ESFP,1000
Thomas,The Maze Runner (Film Trilogy),ISTP,1000
Prince Naveen of Maldonia,The Princess and the Frog (2009),ESFP,1000
Mark Zuckerberg,The Social Network (2010),INTP,1000
Princess Peach,The Super Mario Bros. Movie (2023),ENFJ,1000
Evie Zamora,Thirteen (2003),ESTP,1000
Buzz Lightyear,Toy Story (Franchise),ESTP,1000
Eeyore,Winnie the Pooh (Franchise),INFP,1000
Kate Dibiasky,Don’t Look Up (2021),ISTP,993
C-3PO,Star Wars,ISFJ,993
Mia Dolan,La La Land (2016),ENFJ,988
Barry Allen “The Flash”,DC Extended Universe,INFP,987
Nancy Downs,The Craft (1996),ESFP,986
Lara Jean Song-Covey,To All the Boys (trilogy),INFP,986
Flint Lockwood,Cloudy with a Chance of Meatballs (2009),ENFP,985
Baroness von Hellman,Cruella (2021),ESTJ,983
Maxine Minx,X (2022),ESFP,981
Finnick Odair,The Hunger Games (Franchise),ENFJ,974
"Officer K / ""Joe""",Blade Runner,ISTJ,971
Maleficent,Sleeping Beauty (1959),INTJ,969
Bilbo Baggins,The Hobbit (Film Trilogy),ISFJ,969
Dobby,Harry Potter / Wizarding World Films,INFP,968
Davy Jones,Pirates of the Caribbean,INFP,964
"Lots-o'-Huggin' Bear / ""Lotso""",Toy Story (Franchise),ENFJ,961
"Princess Shuri ""Black Panther""",MCU,ENTP,960
Bruce Wayne “Batman”,DC Extended Universe,INTJ,956
Charles Xavier (First Class),X-Men Cinematic Universe (2011-2020),INFJ,956
"Sam Wilson ""Falcon"" / “Captain America”",MCU,ESFP,950
Marty the Zebra,Madagascar (Franchise),ENFP,947
The Grinch,How The Grinch Stole Christmas (2000),ENTP,943
Rubeus Hagrid,Harry Potter / Wizarding World Films,ISFP,942
Ultron,MCU,ENTJ,937
James P. “Sulley” Sullivan,"Monsters, Inc. (2001)",ISFP,937
Christian Grey,Fifty Shades of Grey (2015),ENTJ,936
Jay Gatsby,The Great Gatsby (2013),INFJ,929
EVE,WALL-E (2008),ISTJ,928
Druig,MCU,INTJ,925
"Pepper Potts ""Rescue""",MCU,ISTJ,925
Hulk,MCU,ISFP,924
Giselle,Enchanted (2007),ESFJ,920
Poppy,Trolls (2016),ENFP,920
Anya / Grand Duchess Anastasia Nikolaevna of Russia,Anastasia (1997),ENFP,919
Dr. King Schultz,Django Unchained (2012),ENTP,918
Jonathan Crane “Scarecrow”,The Dark Knight Trilogy (2005),INTP,917
Mike Schmidt,Five Nights at Freddy's (Movie),ISTP,912
Truman Burbank,The Truman Show (1998),ENFP,912
Anton Ego,Ratatouille (2007),ISTJ,911
Claire Standish,The Breakfast Club (1985),ESFJ,911
Drea Torres,Do Revenge (2022),ENTJ,909
Galadriel,The Lord of the Rings (Film Trilogy),INFJ,908
