,genre_ids,id,popularity,release_date,title,vote_average,vote_count
185,"[14, 16, 12]",4935,103.304,2004-09-09,Howl's Moving Castle,8.408,9466
186,[18],84892,34.82,2012-09-20,The Perks of Being a Wallflower,7.794,10202
187,"[80, 53, 18]",475557,562.782,2019-10-01,Joker,8.161,24628
188,[35],673593,132.424,2024-01-10,Mean Girls,6.104,381
189,"[35, 10749, 18]",4951,45.744,1999-03-30,10 Things I Hate About You,7.587,7797
190,"[10751, 16, 35]",20352,101.864,2010-07-08,Despicable Me,7.235,14604
191,"[28, 12, 14]",284052,468.035,2016-10-25,Doctor Strange,7.422,21614
192,"[12, 35, 10751, 14]",118,100.762,2005-07-13,Charlie and the Chocolate Factory,7.05,14734
193,"[16, 10751, 14]",129,103.963,2001-07-20,Spirited Away,8.536,15945
194,"[28, 80]",495764,45.263,2020-02-05,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),6.9,10001
195,"[12, 10751, 16, 28, 35]",177572,110.489,2014-10-24,Big Hero 6,7.735,15213
196,"[35, 10749]",556678,35.881,2020-02-13,Emma.,7.045,1655
197,"[16, 10751]",38757,122.243,2010-11-24,Tangled,7.607,11077
198,"[12, 878, 28]",299534,300.422,2019-04-24,Avengers: Endgame,8.254,24910
199,"[16, 10751, 12]",10674,102.422,1998-06-18,Mulan,7.9,9317
200,"[16, 35, 10751, 14]",568124,150.275,2021-10-13,Encanto,7.606,9173
201,"[878, 12, 14]",70160,30.457,2012-03-12,The Hunger Games,7.207,21469
202,"[28, 12, 16, 10751, 35]",9502,107.226,2008-06-04,Kung Fu Panda,7.281,11226
203,"[28, 53]",245891,99.539,2014-10-22,John Wick,7.43,18681
204,"[18, 28, 36]",14756,15.672,2008-12-12,Ip Man,7.75,3648
205,"[12, 28, 878]",299536,280.129,2018-04-25,Avengers: Infinity War,8.247,28920
206,"[14, 12]",12445,108.922,2011-07-12,Harry Potter and the Deathly Hallows: Part 2,8.098,19996
207,"[12, 14]",675,94.428,2007-07-08,Harry Potter and the Order of the Phoenix,7.681,18934
208,"[16, 28, 878, 10770]",16237,40.871,2006-09-15,Teen Titans: Trouble in Tokyo,7.792,372
209,"[16, 10751, 12, 18, 35]",150540,262.609,2015-06-09,Inside Out,7.914,20361
210,"[9648, 53, 18]",210577,125.647,2014-10-01,Gone Girl,7.892,18124
211,"[35, 18, 10749, 10402]",313369,43.711,2016-11-29,La La Land,7.902,16348
212,"[28, 12, 878]",157350,65.65,2014-03-14,Divergent,6.918,12511
213,"[35, 80]",337404,77.847,2021-05-26,Cruella,8.024,8998
214,"[18, 35]",350,61.584,2006-06-29,The Devil Wears Prada,7.395,11673
215,"[28, 18, 12]",98,95.813,2000-05-04,Gladiator,8.216,17863
216,"[14, 16, 12]",4935,103.304,2004-09-09,Howl's Moving Castle,8.408,9466
217,"[878, 12]",438631,642.642,2021-09-15,Dune,7.78,11746
218,"[14, 18, 10752]",1417,177.017,2006-10-10,Pan's Labyrinth,7.76,10227
219,"[28, 9648, 53]",27576,49.284,2010-07-21,Salt,6.412,5309
220,"[28, 12, 16, 10751, 35]",9502,107.226,2008-06-04,Kung Fu Panda,7.281,11226
221,"[16, 18, 12, 14]",916224,70.861,2022-11-11,Suzume,7.997,1128
222,"[53, 9648]",591,39.924,2006-05-17,The Da Vinci Code,6.723,9051
