,genre_ids,id,popularity,release_date,title,vote_average,vote_count
137,"[14, 16, 12]",4935,110.525,2004-09-09,Howl's Moving Castle,8.409,9443
138,"[53, 28, 878]",218043,53.269,2014-10-03,Left Behind,4.2,1244
139,"[18, 16, 10749, 10752]",149870,57.641,2013-07-20,The Wind Rises,7.8,2863
140,"[16, 18, 10751, 9648]",242828,42.25,2014-07-19,When Marnie Was There,7.9,1719
141,"[12, 9648, 80]",497582,44.149,2020-09-23,Enola Holmes,7.288,5830
142,"[14, 18, 10749]",8966,125.268,2008-11-20,Twilight,6.3,13112
143,"[16, 10751]",38757,124.861,2010-11-24,Tangled,7.6,11057
144,"[12, 14]",675,121.808,2007-07-08,Harry Potter and the Order of the Phoenix,7.7,18906
145,"[12, 14]",674,133.333,2005-11-16,Harry Potter and the Goblet of Fire,7.814,20079
146,"[36, 18]",82695,51.934,2012-12-18,Les Misérables,7.333,5151
147,"[28, 16, 12, 14, 53]",635302,98.306,2020-10-16,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.229,3693
148,"[36, 18]",82695,51.934,2012-12-18,Les Misérables,7.333,5151
149,"[28, 878, 35, 10751]",454626,102.003,2020-02-12,Sonic the Hedgehog,7.3,9246
150,"[14, 28, 9648]",123553,47.385,2013-08-21,The Mortal Instruments: City of Bones,6.437,4366
151,"[878, 12, 14]",70160,50.003,2012-03-12,The Hunger Games,7.2,21435
152,"[16, 35, 14, 12, 10751]",808,137.857,2001-05-18,Shrek,7.741,16547
153,"[28, 53]",245891,99.493,2014-10-22,John Wick,7.43,18656
154,"[16, 10751, 12]",10674,97.964,1998-06-18,Mulan,7.913,9308
155,"[27, 28, 878]",295830,33.778,2015-08-01,Attack on Titan,6.068,710
156,"[35, 878, 18]",646380,162.657,2021-12-07,Don't Look Up,7.104,7832
157,"[12, 14]",675,121.808,2007-07-08,Harry Potter and the Order of the Phoenix,7.7,18906
158,"[28, 12, 80, 9648]",10528,67.403,2009-12-23,Sherlock Holmes,7.211,13585
159,"[14, 12, 16, 10751]",10191,75.93,2010-03-18,How to Train Your Dragon,7.824,12592
160,"[28, 878]",603,575.344,1999-03-31,The Matrix,8.215,24875
161,"[28, 12, 878]",1771,61.189,2011-07-22,Captain America: The First Avenger,7.0,20905
162,"[28, 12, 878]",157350,55.559,2014-03-14,Divergent,6.918,12494
163,"[10749, 18]",398818,88.106,2017-09-01,Call Me by Your Name,8.1,11749
164,[18],965150,49.786,2022-10-21,Aftersun,7.687,1203
165,"[18, 878, 28]",695721,163.821,2023-11-15,The Hunger Games: The Ballad of Songbirds & Snakes,7.167,2171
166,[18],965150,49.786,2022-10-21,Aftersun,7.687,1203
167,"[12, 14, 28]",122,142.415,2003-12-01,The Lord of the Rings: The Return of the King,8.479,23398
168,"[28, 14]",364,56.236,1992-06-19,Batman Returns,6.924,6263
169,"[12, 14, 28]",22,154.147,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,7.8,19984
170,"[12, 28, 878]",1893,79.305,1999-05-19,Star Wars: Episode I - The Phantom Menace,6.547,14147
171,"[12, 18, 10751, 16]",420818,277.54,2019-07-12,The Lion King,7.1,9688
172,"[18, 28, 10752]",616,56.4,2003-12-05,The Last Samurai,7.585,6615
173,"[16, 35, 10751, 14]",76492,68.009,2012-09-20,Hotel Transylvania,7.0,8333
174,"[28, 12, 14]",284052,436.23,2016-10-25,Doctor Strange,7.423,21583
175,"[28, 12, 878]",429617,124.72,2019-06-28,Spider-Man: Far From Home,7.4,15144
176,"[16, 28, 14]",810693,80.986,2021-12-24,Jujutsu Kaisen 0,8.198,1279
177,"[12, 14]",675,121.808,2007-07-08,Harry Potter and the Order of the Phoenix,7.7,18906
178,"[16, 35, 10751, 14]",568124,150.981,2021-10-13,Encanto,7.6,9159
179,"[10751, 16, 14, 28, 12]",81188,60.361,2012-11-21,Rise of the Guardians,7.361,6486
180,"[878, 12, 28]",76600,194.924,2022-12-14,Avatar: The Way of Water,7.624,11276
181,"[28, 16, 12, 14, 53]",635302,98.306,2020-10-16,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.229,3693
182,"[35, 18]",2108,66.985,1985-02-15,The Breakfast Club,7.747,7759
183,"[18, 80]",278,155.715,1994-09-23,The Shawshank Redemption,8.705,26164
184,"[14, 18, 10749]",162,76.044,1990-12-07,Edward Scissorhands,7.716,12523
185,"[16, 10751, 14]",129,123.774,2001-07-20,Spirited Away,8.537,15914
