char,movie,mbti,votes
Vic,The party (La Boom),ISFP,6 Pdb Votes
Chef Smurf,The Smurfs (2011),XXXX,2 Pdb Votes
Bobby,Carriers (2009),ESFP,1 Pdb Vote
Riley McCormick,Contracted (2013),ISFP,4 Pdb Votes
Lax Morales,Hello Herman (2012),ISFP,3 Pdb Votes
Claire Redfield,Resident Evil: Welcome to Raccoon City,ISFP,44 Pdb Votes
Brent Mitchell,The loved ones,ISFP,14 Pdb Votes
Aslıhan,Recep İvedik 4,ISFP,7 Pdb Votes
Hudson Rivers,Dear Dumb Diary,ISFP,8 Pdb Votes
Sara,Training Day (2001),XXXX,1 Pdb Vote
Sarah Scarangella,Inside,ISFP,11 Pdb Votes
Lisa,Haunter (2013),XXXX,17 Pdb Votes
Kinsey,The Strangers,ISFP,45 Pdb Votes
Casey Welson,The Call (2013),ISFP,12 Pdb Votes
Jean Fordham,August: Osage County (2013),ISFP,7 Pdb Votes
Su Jiaming,Soul Mate (2016),XXXX,1 Pdb Vote
Ben Parish,The 5th Wave (2016),ISFP,24 Pdb Votes
Gnaghi,Cemetery Man (1994),ISFP,4 Pdb Votes
Lydia,The others (2001),ISFP,5 Pdb Votes
Benicio,Drive (2011),ISFP,27 Pdb Votes
Shaggy Rogers,SCOOB!,ISFP,29 Pdb Votes
Deena Johnson,Fear Street (Franchise),ISFP,677 Pdb Votes
María,Django (1966),ISFP,13 Pdb Votes
Fatoş,Ramo (2020),ISFP,6 Pdb Votes
Stephen,The Edge (1997),INFP,1 Pdb Vote
Tony,West Side Story (2021),ISFP,94 Pdb Votes
Marilyn Monroe,Blonde (2022),XXXX,125 Pdb Votes
Lee Ja-sung,New World (2013),XXXX,23 Pdb Votes
Trevor Spengler,Ghostbusters: Afterlife (2021),ISFP,94 Pdb Votes
Danielle,Shiva Baby (2020),ISFP,107 Pdb Votes
Patricia “Katie” Krenwinkel,Once Upon a Time in... Hollywood (2019),ISFP,20 Pdb Votes
Elliot,Alex Strangelove (2018),ISFP,26 Pdb Votes
Minstrel,Sleeping Beauty (1959),ISFP,24 Pdb Votes
Tristan,Tristan & Isolde (2006),ISFP,11 Pdb Votes
Joe Schmo,Suburbia (1984),ISFP,3 Pdb Votes
Evan Johnson,Suburbia (1984),ISFP,2 Pdb Votes
Gyeon Min Su,Silenced (2011),ISFP,6 Pdb Votes
Mehmet,Paper Lives (2021),ISFP,12 Pdb Votes
Dixie,"Daddy, I'm a Zombie",ISFP,28 Pdb Votes
Kristen,The Strangers,ISFP,17 Pdb Votes
Tulsa,The Space Between Us,ISFP,29 Pdb Votes
Rudolf Nureyev,The White Crow,ISFP,21 Pdb Votes
Grawp,Harry Potter / Wizarding World Films,ISFP,16 Pdb Votes
Star,American Honey,ISFP,67 Pdb Votes
Jesse,Celeste and Jesse Forever,ISFP,10 Pdb Votes
Vivian Carter,Moxie (2021),ISFP,233 Pdb Votes
Katie Torres,Yes Day,ISFP,66 Pdb Votes
Clyde,Electrick Children (2012),ISFP,8 Pdb Votes
Billy Lynn,Billy Lynn's Long Halftime Walk (2016),XXXX,3 Pdb Votes
Kong,Godzilla vs. Kong,ISFP,38 Pdb Votes
Devdas,Devdas,ISFP,63 Pdb Votes
Jennie,Kids (1995),ISFP,16 Pdb Votes
Top,First Love / Crazy Little Thing Called Love (2010),ISFP,2 Pdb Votes
Sonny Crawford,The Last Picture Show (1971),ISFP,15 Pdb Votes
Torje Hanssen,22 July (2018),XXXX,3 Pdb Votes
Daniel,Colonia (2015),XXXX,8 Pdb Votes
Connor Bell,Polaroid,ISFP,11 Pdb Votes
John McFarland,Elephant (2003),ISFP,22 Pdb Votes
