char,movie,mbti,votes
Samir,DC Extended Universe,XXXX,1 Pdb Vote
"Amon Tomaz ""Osiris""",DC Extended Universe,ENFP,30 Pdb Votes
Ahk-Ton,DC Extended Universe,ESTJ,6 Pdb Votes
Uncle Karim,DC Extended Universe,ENFP,5 Pdb Votes
Sabbac,DC Extended Universe,ENTJ,17 Pdb Votes
Victoria Kord,Blue Beetle (2023),ENTJ,38 Pdb Votes
"Maxine Hunkel ""Cyclone""",DC Extended Universe,ENFJ,69 Pdb Votes
"Adrianna Tomaz ""Isis""",DC Extended Universe,INFJ,21 Pdb Votes
"Carter Hall ""Hawkman""",DC Extended Universe,ISTJ,133 Pdb Votes
"Albert Rothstein ""Atom Smasher""",DC Extended Universe,ENFP,110 Pdb Votes
Detective Song,DC Extended Universe,ISTJ,14 Pdb Votes
John Economos,DC Extended Universe,INTP,80 Pdb Votes
Clemson Murn,DC Extended Universe,ISTJ,55 Pdb Votes
Leota Adebayo,DC Extended Universe,ENFP,59 Pdb Votes
Billy Batson,DC Extended Universe,ISFP,120 Pdb Votes
Camila,DC Extended Universe,ESFJ,2 Pdb Votes
"Otis Flannegan ""Ratcatcher""",DC Extended Universe,INFJ,213 Pdb Votes
Milton,DC Extended Universe,ISFJ,14 Pdb Votes
Calendar Man,DC Extended Universe,ENTP,16 Pdb Votes
Sebastian,DC Extended Universe,ISFJ,96 Pdb Votes
Mateo Suárez,DC Extended Universe,ESTJ,8 Pdb Votes
Silvio Luna,DC Extended Universe,ENFJ,40 Pdb Votes
Starro,DC Extended Universe,ISFP,60 Pdb Votes
Cory Pitzner “T.D.K.”,DC Extended Universe,ENTP,28 Pdb Votes
Weasel,DC Extended Universe,ENTP,100 Pdb Votes
Mongal,DC Extended Universe,ESTP,12 Pdb Votes
Gunter Braun “Javelin”,DC Extended Universe,ESFP,21 Pdb Votes
Emilia Harcourt,DC Extended Universe,ISTP,122 Pdb Votes
Richard Hertz “Blackguard”,DC Extended Universe,ESFP,66 Pdb Votes
Brian Durlin “Savant”,DC Extended Universe,ISTP,69 Pdb Votes
Sol Soria,DC Extended Universe,ENFJ,10 Pdb Votes
Incubus,DC Extended Universe,ISFP,2 Pdb Votes
"Slade Wilson ""Deathstroke""",DC Extended Universe,ISTP,21 Pdb Votes
Calvin Swanwick “Martian Manhunter”,DC Extended Universe,INFJ,36 Pdb Votes
Desaad,DC Extended Universe,ISTJ,38 Pdb Votes
Ryan Choi (The Atom),DC Extended Universe,ENTP,20 Pdb Votes
Robert DuBois “Bloodsport”,DC Extended Universe,ISTP,283 Pdb Votes
Maxwell Lord IV,DC Extended Universe,ENTP,182 Pdb Votes
Barbara Minerva “Cheetah”,DC Extended Universe,ISFP,152 Pdb Votes
Ellen Yee,DC Extended Universe,XXXX,9 Pdb Votes
Pedro Peña,DC Extended Universe,ISTP,37 Pdb Votes
Jesse Kane,DC Extended Universe,ESTJ,10 Pdb Votes
King Nereus,DC Extended Universe,ESTJ,3 Pdb Votes
Silas Stone,DC Extended Universe,INTP,25 Pdb Votes
Chief,DC Extended Universe,INFP,3 Pdb Votes
Sameer,DC Extended Universe,ESFP,4 Pdb Votes
Charlie,DC Extended Universe,ENTP,19 Pdb Votes
Erich Ludendorff,DC Extended Universe,ENTJ,6 Pdb Votes
Antiope,DC Extended Universe,ENTJ,35 Pdb Votes
Senator June Finch,DC Extended Universe,ISTJ,3 Pdb Votes
Cassandra Cain,DC Extended Universe,ISTP,67 Pdb Votes
Etta Candy,DC Extended Universe,ESFJ,21 Pdb Votes
Victor Zsasz,DC Extended Universe,ESFP,51 Pdb Votes
"Dinah Lance ""Black Canary""",DC Extended Universe,ISTP,116 Pdb Votes
Renee Montoya,DC Extended Universe,ISTJ,53 Pdb Votes
Roman Sionis “Black Mask”,DC Extended Universe,ESTP,126 Pdb Votes
Thomas Curry,DC Extended Universe,ISFJ,30 Pdb Votes
"The Wizard ""Shazam""",DC Extended Universe,ISFP,162 Pdb Votes
Eugene Choi,DC Extended Universe,INTP,49 Pdb Votes
Darla Dudley,DC Extended Universe,ESFJ,70 Pdb Votes
Mary Bromfield,DC Extended Universe,INFJ,80 Pdb Votes
Shazam / Captain Sparkle Fingers,DC Extended Universe,ESFP,255 Pdb Votes
Black Manta,DC Extended Universe,ISTP,141 Pdb Votes
Nuidis Vulko,DC Extended Universe,INTP,53 Pdb Votes
Queen Atlanna,DC Extended Universe,ENFJ,51 Pdb Votes
Mera,DC Extended Universe,ISFP,185 Pdb Votes
Isabel Maru “Doctor Poison”,DC Extended Universe,INTP,95 Pdb Votes
Ares,DC Extended Universe,INTJ,93 Pdb Votes
James Gordon,DC Extended Universe,ISTJ,38 Pdb Votes
Hippolyta,DC Extended Universe,INFJ,58 Pdb Votes
"Victor Stone ""Cyborg""",DC Extended Universe,ISTJ,195 Pdb Votes
Doomsday,DC Extended Universe,ISTP,44 Pdb Votes
Faora-Ul,DC Extended Universe,ISTJ,39 Pdb Votes
Jonathan Kent,DC Extended Universe,INTP,60 Pdb Votes
"Christopher Weiss ""Slipknot""",DC Extended Universe,ISTP,28 Pdb Votes
"Tatsu Yamashiro ""Katana""",DC Extended Universe,ISTJ,87 Pdb Votes
June Moone “Enchantress”,DC Extended Universe,INFJ,99 Pdb Votes
Chato Santana “El Diablo”,DC Extended Universe,ISFP,108 Pdb Votes
"Waylon Jones ""Killer Croc""",DC Extended Universe,ESTP,59 Pdb Votes
Digger Harkness “Captain Boomerang”,DC Extended Universe,ESTP,126 Pdb Votes
