,char,movie,mbti,votes
2801,Teoh Yun Ling,The Garden Of Evening Mist,ISTJ,4 Pdb Votes
2802,Nakamura Aritomo,The Garden Of Evening Mist,XXXX,8 Pdb Votes
2803,Júlio Cesar,O Vendedor de Sonhos,ISTJ,2 Pdb Votes
2804,Ben,Wind River,ISTJ,11 Pdb Votes
2805,Rosa,Talk to Her (Hable con ella) 2002,ISTJ,2 Pdb Votes
2806,"""Mr. Fabulous"" Alan Rubin",The Blues Brothers (1980),ISTJ,28 Pdb Votes
2807,Charlie Donovan,Major League (1989),ISTJ,72 Pdb Votes
2808,Jim Bloggs,When The Wind Blows (1986),ISTJ,7 Pdb Votes
2809,Wilhelmina Bertha Packard,Atlantis: The Lost Empire (2001),ISTJ,3 Pdb Votes
2810,Alex Murphy / RoboCop (Remake),RoboCop,XXXX,1 Pdb Vote
2811,Sergeant Warren Reed,RoboCop,ISTJ,4 Pdb Votes
2812,Tex,Midnight Express (1978),ISTJ,1 Pdb Vote
2813,Sheriff Doug Barnum,Powder (1995),ISTJ,28 Pdb Votes
2814,Lorraine Nelson,Dolphin Tale (2011),ISTJ,27 Pdb Votes
2815,Benjamin Stahlbaum,The Nutcracker And The Four Realms,ISTJ,1 Pdb Vote
2816,Margaret White,Carrie (2013),ISTJ,10 Pdb Votes
2817,Daniel Ellsberg,The Post (2017),XXXX,1 Pdb Vote
2818,Caroline,The Curious Case of Benjamin Button (2008),ISTJ,7 Pdb Votes
2819,Juror #4,12 Angry Men (1997),XXXX,7 Pdb Votes
2820,Lisa Luder,Romy and Michele's High School Reunion (1997),ISTJ,2 Pdb Votes
2821,Princess Dala,The Pink Panther (film series),ISTJ,11 Pdb Votes
2822,Dr. Pauline Whittier,"Everything, Everything",ISTJ,40 Pdb Votes
2823,Walter Eberhart,The Stepford Wives (1975),ISTJ,2 Pdb Votes
2824,Butch,Django Unchained (2012),ISTJ,17 Pdb Votes
2825,Max Von Mayerling,Sunset Boulevard (1950),ISTJ,47 Pdb Votes
2826,Carl Halabi,Bad Teacher,ISTJ,13 Pdb Votes
2827,Gig,Hot Wheels World Race / AcceleRacers,ISTJ,10 Pdb Votes
2828,Jay Kepler,16 Wishes (2010),ISTJ,43 Pdb Votes
2829,Gamling,The Lord of the Rings (Film Trilogy),ISTJ,3 Pdb Votes
2830,Madril,The Lord of the Rings (Film Trilogy),ISTJ,9 Pdb Votes
2831,Silas,The Da Vinci Code,ISTJ,14 Pdb Votes
2832,Mr. Osato,James Bond Film Series,ISTJ,3 Pdb Votes
2833,Porter Collins,The Big Short (2015),ESTJ,27 Pdb Votes
2834,King,Barbie and the Magic of Pegasus (2005),ISTJ,10 Pdb Votes
2835,Peter Edgar,Luce (2019),ISTJ,14 Pdb Votes
2836,Judge Chamberlain Haller,My Cousin Vinny (1992),ISTJ,7 Pdb Votes
2837,Sargeant Nash,Black Christmas (1974),ISTJ,6 Pdb Votes
2838,Mr. Harrison,Black Christmas (1974),ISTJ,3 Pdb Votes
2839,Mr. Smith,Shoot 'Em Up (2007),ISTJ,3 Pdb Votes
2840,Enver,War Dogs,ISTJ,7 Pdb Votes
2841,Ralph Slutzky,War Dogs,ISTJ,72 Pdb Votes
2842,Aliens / Xenomorphs,Alien vs. Predator (Franchise),XXXX,2 Pdb Votes
2843,Judge Klark,The To Do List,ISTJ,40 Pdb Votes
2844,Brandy Klark,The To Do List,ISTJ,5 Pdb Votes
2845,"Joe ""Skip"" Riggins",Bull Durham (1988),ISTJ,9 Pdb Votes
2846,Edwin Chu,The Half of It (2020),ISTJ,9 Pdb Votes
2847,Officer Krupke,West Side Story (1961),ISTJ,0
2848,Edward Ruddy,Network (1976),ISTJ,0
2849,Inspector Kemp,Young Frankenstein,ISTJ,0
2850,Mr. Bobo,The Pirates! In an Adventure with Scientists! (2012),ISTJ,4 Pdb Votes
2851,Professor William Brandywine,Monsters University (2013),ISTJ,10 Pdb Votes
2852,Sentinels,The Matrix Trilogy,ISTJ,10 Pdb Votes
2853,Bank,Bad Genius,ISTJ,74 Pdb Votes
2854,Ed Harris,Major League (1989),ISTJ,3 Pdb Votes
2855,Eric Lomax,The Railway Man,ISTJ,2 Pdb Votes
2856,Tom Bueller,Ferris Bueller's Day Off (1986),ISTJ,27 Pdb Votes
2857,Gaspar,Extraction (2020),ISTJ,8 Pdb Votes
2858,Saju,Extraction (2020),ISTJ,19 Pdb Votes
2859,Harold Flaherty,American Pie,ISTJ,15 Pdb Votes
2860,Tim Willoughby,The Willoughbys (2020),ISTJ,100 Pdb Votes
2861,Mark Wiener,Welcome to the Dollhouse (1995),ISTJ,14 Pdb Votes
2862,Carretero,The Silence of the Marsh (2019),ISTJ,1 Pdb Vote
2863,Ms.Weiss,Precious (2009),ISTJ,11 Pdb Votes
2864,Nurse Noakes,Cloud Atlas (2012),ISTJ,8 Pdb Votes
2865,Mohamad Karaman,A Perfect Murder,ISTJ,3 Pdb Votes
2866,Harold Lee,Harold and Kumar,ISTJ,54 Pdb Votes
2867,Captain Thorpe,Baywatch (2017),ISTJ,5 Pdb Votes
2868,César,Central Station (1998),ISTJ,10 Pdb Votes
2869,FBI Agent Bill,Matilda (1996),ISTJ,4 Pdb Votes
2870,Richard Johnson,The Bridges of Madison County (1995),ISTJ,1 Pdb Vote
2871,Sonny,ARQ (2016),XXXX,23 Pdb Votes
2872,"Special Agent Robert ""Bobby"" Trench",2 Guns,ISTJ,11 Pdb Votes
2873,Daisy Werthan,Driving Miss Daisy (1989),ISTJ,51 Pdb Votes
2874,Boggs,The Hunger Games (Franchise),ISTJ,1 Pdb Vote
2875,Ray Reddy,Signs (2002),ISTJ,33 Pdb Votes
2876,Sarah Grayson,Logan Lucky,ISTJ,4 Pdb Votes
2877,Vicky,Vicky Cristina Barcelona,ISTJ,5 Pdb Votes
2878,Houston Brooks,Kong: Skull Island (2017),ISTJ,2 Pdb Votes
2879,Jack Graham,Shadow of a Doubt (1943),XXXX,35 Pdb Votes
2880,Badger,The Wind In The Willows (1984),ISTJ,2 Pdb Votes
2881,Patricio Solitano Sr.,Silver Linings Playbook (2012),ISTJ,6 Pdb Votes
2882,Wan,Dust in the Wind (1986),ISTJ,1 Pdb Vote
2883,John Carlyle,Elysium,ISTJ,15 Pdb Votes
2884,"MI6 Agent Jacquelin ""Jax"" Marshall",Has Fallen Series,XXXX,7 Pdb Votes
2885,Sheriff Leigh Brackett,Halloween (1978),ISTJ,13 Pdb Votes
2886,Crawford,Finding Forrester (2000),XXXX,5 Pdb Votes
2887,Kaspar Kordes,Klass (2007),ISTJ,1 Pdb Vote
2888,Jimmy,The Karate Kid (Franchise),ISTJ,2 Pdb Votes
2889,Gustav von Kahr,Hitler: The Rise of Evil (2003),XXXX,1 Pdb Vote
2890,President Paul von Hindenburg,Hitler: The Rise of Evil (2003),ISTJ,2 Pdb Votes
2891,Pentaur,The Ten Commandments (1956),ISTJ,5 Pdb Votes
2892,Memnet,The Ten Commandments (1956),ISTJ,4 Pdb Votes
2893,Sethi,The Ten Commandments (1956),XXXX,14 Pdb Votes
2894,Felix Leiter (Cec Linder / Goldfinger),James Bond Film Series,ISTJ,5 Pdb Votes
2895,Simone Bradley,Loving Annabelle,ISTJ,3 Pdb Votes
2896,Lt. Morris Schaffer,Where Eagles Dare (1968),ISTJ,4 Pdb Votes
2897,Brian Gelford,Freedom Writers (2007),ISTJ,46 Pdb Votes
2898,Steve Gruwell,Freedom Writers (2007),ISTJ,0
2899,Laverne,The Hunchback of Notre Dame (1996),ISTJ,0
2900,Prosecutor,Once Upon a Time in Anatolia (2011),ISTJ,4 Pdb Votes
2901,Herr Von Potzdorf (Minister of Police),Barry Lyndon (1975),ISTJ,7 Pdb Votes
2902,Lizzie Ridd,Lorna Doone (2000),ISTJ,4 Pdb Votes
2903,Tony Mendez,Argo (2012),ISTJ,16 Pdb Votes
2904,Hanife,Whisper If I Forget (Unutursam Fısılda; 2014),ISTJ,15 Pdb Votes
2905,Brietta,Barbie and the Magic of Pegasus (2005),ISTJ,71 Pdb Votes
2906,Randy Anderson,The Outsiders (1983),ISTJ,2 Pdb Votes
2907,N.J.,Yi Yi (2000),ISTJ,15 Pdb Votes
2908,Li Jing,Nezha (2019),XXXX,4 Pdb Votes
2909,Frank Marlowe,A Place In The Sun,ISTJ,2 Pdb Votes
2910,Inspector Larrue,I Confess (1953),ISTJ,2 Pdb Votes
2911,Razor Charlie,From Dusk Till Dawn (1996),ISTJ,6 Pdb Votes
2912,Terrill,The Outlaw Josey Wales (1976),ISTJ,6 Pdb Votes
2913,Joe the Lodger,A Clockwork Orange (1971),ISTJ,32 Pdb Votes
2914,Dr. Brodsky,A Clockwork Orange (1971),ISTJ,26 Pdb Votes
2915,Father Flood,Brooklyn (2015),ISTJ,1 Pdb Vote
2916,Field Marshal Gerd Von Rundstedt,A Bridge Too Far (1977),ISTJ,1 Pdb Vote
2917,Maj. Gen. Urquhart,A Bridge Too Far (1977),ISTJ,8 Pdb Votes
2918,Jasmine Bryant,A Fall from Grace (2020),ISTJ,4 Pdb Votes
2919,Dr. Erin Mears,Contagion (2011),ISTJ,18 Pdb Votes
2920,Mitch Emhoff,Contagion (2011),ISTJ,14 Pdb Votes
2921,Dr. Benjamin Ohiaeri,93 Days (2016),ISTJ,1 Pdb Vote
2922,Charles Rodman,Rise of the Planet of Apes,ISTJ,6 Pdb Votes
2923,Süleyman Akbaş,Ahlat Ağacı,XXXX,2 Pdb Votes
2924,Pol,The Quiller Memorandum (1966),XXXX,5 Pdb Votes
2925,Reverend Mother,Sister Act (1992),ISTJ,28 Pdb Votes
2926,Hal Moores,The Green Mile (1999),ISTJ,24 Pdb Votes
2927,Don Miguel Benito Rojo,The Dollars Trilogy,ISTJ,5 Pdb Votes
2928,Takehiro Kanazawa,Rashomon (1950) (羅生門),ISTJ,17 Pdb Votes
2929,M (Robert Brown),James Bond Film Series,ISTJ,10 Pdb Votes
2930,Malachia,The Name of the Rose (1986),ISTJ,7 Pdb Votes
2931,Starck,Event Horizon,ISTJ,5 Pdb Votes
2932,Diablo,Sleeping Beauty (1959),ISTJ,40 Pdb Votes
2933,Colonel Ross,Harry Palmer,XXXX,2 Pdb Votes
2934,German Tank Commander,Kelly's Heroes (1970),XXXX,2 Pdb Votes
2935,Jim Farrell,Brooklyn (2015),ISTJ,5 Pdb Votes
2936,Ivan Locke,Locke,ISTJ,26 Pdb Votes
2937,Mr. Nolan,Dead Poets Society (1989),ISTJ,65 Pdb Votes
2938,Sour Bill,Wreck-It Ralph (Franchise),ISTJ,88 Pdb Votes
2939,Pink's Teacher,Pink Floyd: The Wall,ISTJ,30 Pdb Votes
2940,Detective Ricky Walsh,Die Hard,ISTJ,1 Pdb Vote
2941,Inspector Walter Cobb,Die Hard,ISTJ,2 Pdb Votes
2942,Mathias Targo,Die Hard,ISTJ,1 Pdb Vote
2943,Colonel William Stuart,Die Hard,ISTJ,5 Pdb Votes
2944,Chef DeForrest,Ghostbusters (1984),XXXX,1 Pdb Vote
2945,John O'Keefe / Sedgewick Hotel Manager,Ghostbusters (1984),ISTJ,3 Pdb Votes
2946,The Rookie,Ghostbusters (1984),ISTJ,3 Pdb Votes
2947,Chief Lester Jannings,Dirty Harry,ISTJ,2 Pdb Votes
2948,Inspector Chico Gonzalez,Dirty Harry,ISTJ,11 Pdb Votes
2949,Father Time,Alice in Wonderland / Through the Looking Glass (2010 - 2016),ISTJ,82 Pdb Votes
2950,M (Bernard Lee),James Bond Film Series,ISTJ,13 Pdb Votes
2951,M / Gareth Mallory (Ralph Fiennes),James Bond Film Series,ISTJ,55 Pdb Votes
2952,Princess Ting-Ting,Mulan (Franchise),ISTJ,100 Pdb Votes
2953,Kate,The Layover,XXXX,3 Pdb Votes
2954,Nazeer,SubUrbia (1996),ISTJ,2 Pdb Votes
2955,Professor,Stalker (1979) (Сталкер),ISTJ,36 Pdb Votes
2956,Claude Hooper Bukowski,Hair (1979),ISTJ,16 Pdb Votes
2957,Tom Griffin,The Invisible Man (2020),ISTJ,28 Pdb Votes
2958,Yar,Dinosaur (2000),ISTJ,4 Pdb Votes
2959,Nyx,Tinker Bell (2008),ISTJ,106 Pdb Votes
2960,Gloria Perez,Wild Things (1998),ISTJ,2 Pdb Votes
2961,Jason Voorhees (2009 Timeline),Friday the 13th (1980),ISTJ,76 Pdb Votes
2962,Agent C,Men in Black,ISTJ,4 Pdb Votes
2963,Captain Richard Phillips,Captain Phillips (2013),ISTJ,27 Pdb Votes
2964,Walter Fane,The Painted Veil (2006),ISTJ,18 Pdb Votes
2965,Inspector Lestrade,Sherlock Holmes,ISTJ,28 Pdb Votes
2966,Pale Man,Pan's Labyrinth (2006) (El laberinto del fauno),ISTJ,35 Pdb Votes
2967,Hugh Stamp,Mission: Impossible (Franchise),ISTJ,8 Pdb Votes
2968,"Tyrannosaurus Rex (Isla Nublar) ""Roberta""",Jurassic Park / Jurassic World (Film Franchise),ISTJ,59 Pdb Votes
2969,Zara Young,Jurassic Park / Jurassic World (Film Franchise),ISTJ,9 Pdb Votes
2970,Monty Hewitt,The Texas Chainsaw Massacre (Franchise),ISTJ,7 Pdb Votes
2971,George Banks,Father of the Bride (1991),ISTJ,31 Pdb Votes
2972,Dr Moreno,Honey Boy (2019),ISTJ,2 Pdb Votes
2973,Matthias Ruiz,Matthias & Maxime (2019),ISTJ,15 Pdb Votes
2974,Maria Di Vita,Cinema Paradiso (1988),ISTJ,10 Pdb Votes
2975,Ed Hocken,The Naked Gun,ISTJ,1 Pdb Vote
2976,Park Dong-jin,Sympathy For Mr. Vengeance (2002),ISTJ,6 Pdb Votes
2977,Park Hee-bong,The Host (2006),ISTJ,9 Pdb Votes
2978,William,The Witch (2015),ISTJ,115 Pdb Votes
2979,Jim Byrd,Confessions of a Dangerous Mind (2002),ISTJ,4 Pdb Votes
2980,Reodor Felgen,Flåklypa « The Pinchcliffe Grand Prix» and the other movies,XXXX,9 Pdb Votes
2981,Samuel.L.Chang,Threat Level Midnight (2019),ISTJ,16 Pdb Votes
2982,Haibin Wang,The Farewell (2019),ISTJ,1 Pdb Vote
2983,Lu Jian Wang,The Farewell (2019),ISTJ,6 Pdb Votes
2984,Beans,Rango,ISTJ,164 Pdb Votes
2985,Commander Tung Yong,Mulan (2020),ISTJ,20 Pdb Votes
2986,Mrs. Sellner,Mrs. Doubtfire (1993),ISTJ,7 Pdb Votes
2987,Abigail Hardscrabble,Monsters University (2013),ISTJ,98 Pdb Votes
2988,Roy Waller,Matchstick Men (2003),ISTJ,10 Pdb Votes
2989,Lloyd Vogel,A Beautiful Day in the Neighbourhood (2019),ISTJ,33 Pdb Votes
2990,Rowf,The Plague Dogs (1982),ISTJ,17 Pdb Votes
2991,Jet Bean,Killer Bean Forever (2009),ISTJ,56 Pdb Votes
2992,Detective Cromwell,Killer Bean Forever (2009),ISTJ,65 Pdb Votes
2993,Lord George,The Gentlemen (2019),ISTJ,18 Pdb Votes
2994,Max Waters,Transcendence (2014),ISTJ,15 Pdb Votes
2995,Jess's father,A Long Way Down (2014),XXXX,1 Pdb Vote
2996,Lewis,"The Way, Way Back (2013)",ISTJ,6 Pdb Votes
2997,Martin Cash,Jack Reacher (2012-2016),ISTJ,3 Pdb Votes
2998,Mitch Wilson,The Campaign (2012),ISTJ,6 Pdb Votes
2999,Charissa Sosa,The A-Team (2010),ISTJ,0
3000,"News"" John Mayford",The Boat That Rocked / Pirate Radio (2009),XXXX,1 Pdb Vote
3001,Baroness Louise Lehzen,The Young Victoria (2009),ISTJ,4 Pdb Votes
3002,Gordon Silberman,2012 (2009 disaster film),ISTJ,107 Pdb Votes
3003,Ebenezer Scrooge,A Christmas Carol (2009),ISTJ,1 Pdb Vote
3004,Kirstie MacMorrow,The Water Horse: Legend of the Deep (2007),XXXX,1 Pdb Vote
3005,Stelmaria,The Golden Compass (2007),XXXX,4 Pdb Votes
3006,John Faa,The Golden Compass (2007),ISTJ,73 Pdb Votes
3007,Michael Bryce,The Hitman's Bodyguard (2017),ISTJ,1 Pdb Vote
3008,Antoine LeClerq (2015),Hitman (Movie Franchise),ISTJ,9 Pdb Votes
3009,Walt McCandless,Into the Wild (2007),ISTJ,5 Pdb Votes
3010,"Florimond Claude, Count of Mercy-Argenteau",Marie Antoinette (2006),ISTJ,3 Pdb Votes
3011,"Anne de Noailles, ""Countess of Noailles""",Marie Antoinette (2006),ISTJ,4 Pdb Votes
3012,Mrs. Jones,Stormbreaker / Alex Rider: Stormbreaker (2006),ISTJ,3 Pdb Votes
3013,Lofty Thaddeus Worthington,Valiant (2005),ISTJ,9 Pdb Votes
3014,Lindsey Meeks,The Perfect Catch / Fever Pitch ( 2005),ISTJ,4 Pdb Votes
3015,Rodney Miller,My Big Fat Greek Wedding (franchise),ISTJ,16 Pdb Votes
3016,Ujio,The Last Samurai (2003),ISTJ,12 Pdb Votes
3017,"Gordon ""Fletch"" Fletcher",Minority Report (2002),ISTJ,11 Pdb Votes
3018,Colonel/General Harry Burwell,The Patriot (2000),ISTJ,2 Pdb Votes
3019,Atley Jackson,Gone in 60 Seconds (2000),ISTJ,13 Pdb Votes
3020,Sam Fuller,Miss Congeniality franchise,ISTJ,2 Pdb Votes
3021,Count Max,Scary Godmother: Halloween Spooktakular,ISTJ,1 Pdb Vote
3022,Agent Boshane,"Me, Myself & Irene (2000)",ISTJ,2 Pdb Votes
3023,Colonel Partington,"Me, Myself & Irene (2000)",ISTJ,6 Pdb Votes
3024,Mai,Dragonball Evolution (2009),ISTJ,7 Pdb Votes
3025,Rukia Kuchiki,Bleach (2018),ISTJ,19 Pdb Votes
3026,Hannah,Jane Eyre (2011),ISTJ,5 Pdb Votes
3027,St. John Rivers,Jane Eyre (2011),ISTJ,2 Pdb Votes
3028,Queen Weilew,The 13th Warrior (1999),ISTJ,2 Pdb Votes
3029,G2,Inspector Gadget,ISTJ,31 Pdb Votes
3030,Walter Wallace,My Best Friend's Wedding (1997),ISTJ,4 Pdb Votes
3031,Snowbell,Stuart Little,ISTJ,3 Pdb Votes
3032,Queen Elizabeth II,The Queen (2006),ISTJ,5 Pdb Votes
3033,Mary I of England,Elizabeth (1998 - 2007),ISTJ,2 Pdb Votes
3034,Captain,One Hundred and One Dalmatians (1961),ISTJ,3 Pdb Votes
3035,Raven,Tekken (2009),ISTJ,1 Pdb Vote
3036,M Bison,Street Fighter: The Legend of Chun-Li (2009),ISTJ,1 Pdb Vote
3037,Sergeant Cammy,Street Fighter (1994),XXXX,1 Pdb Vote
3038,Colonel William F. Guile,Street Fighter (1994),XXXX,20 Pdb Votes
3039,Cameron,Shallow Grave (1994),ISTJ,4 Pdb Votes
3040,David Stephens,Shallow Grave (1994),ISTJ,14 Pdb Votes
3041,First Lieutenant Jonathan James Kendrick,A Few Good Men (1992),ISTJ,14 Pdb Votes
3042,"Lance Corporal Harold W. Dawson,",A Few Good Men (1992),ISTJ,1 Pdb Vote
3043,Captain Jack Ross,A Few Good Men (1992),ISTJ,9 Pdb Votes
3044,Stephen Chase,Far and Away (1992),ISTJ,1 Pdb Vote
3045,Crooks,Of Mice and Men (1992),ISTJ,16 Pdb Votes
3046,Ascalante,Kull the Conqueror (1997),XXXX,1 Pdb Vote
3047,Togra,Conan the Barbarian (1982),ISTJ,0
3048,Sorsha,Willow (1988),XXXX,0
3049,Wendy Leach,A Fish Called Wanda (1988),ISTJ,0
3050,Rev. Shaw Moore,Footloose (1984),ISTJ,6 Pdb Votes
3051,Sgt./Lt./Capt./Acting Capt. Carl Proctor,Police Academy,ISTJ,4 Pdb Votes
3052,Cadet/Off./Sgt./Lt./Capt. Moses Hightower,Police Academy,ISTJ,11 Pdb Votes
3053,"Mitchell ""Mitch"" Szalinski","Honey, I...",ISTJ,2 Pdb Votes
3054,Neal Page,"Planes, Trains and Automobiles (1987)",ISTJ,66 Pdb Votes
3055,Ip Man,Ip Man,ISTJ,97 Pdb Votes
3056,Detective,What did Jack do? (2020),ISTJ,10 Pdb Votes
3057,"Frank Manero, Sr.",Saturday Night Fever (1977),ISTJ,1 Pdb Vote
3058,Stephanie Mangano,Saturday Night Fever (1977),ISTJ,20 Pdb Votes
3059,Sgt. Neil Howie,The Wicker Man (1973),ISTJ,59 Pdb Votes
3060,Guy Montag,Fahrenheit 451 (1966),XXXX,8 Pdb Votes
3061,Sid Sawyer,The Adventures of Tom Sawyer (1938),ISTJ,1 Pdb Vote
3062,Sir Guy of Gisbourne,The Adventures of Robin Hood (1938),ISTJ,3 Pdb Votes
3063,Aunt March,Little Women (1933),ISTJ,2 Pdb Votes
3064,Jørn,Ternet Ninja,ISTJ,2 Pdb Votes
3065,General Rokurota Makabe,The Hidden Fortress (1958),ISTJ,21 Pdb Votes
3066,Crawe,Jack the Giant Slayer (2013),ISTJ,1 Pdb Vote
3067,Miss Hardbroom,The Worst Witch (1986),ISTJ,4 Pdb Votes
3068,Bagheera,Mowgli: Legend of the Jungle ( 2018),ISTJ,20 Pdb Votes
3069,Professor John Robinson,Lost in Space (1998),ISTJ,3 Pdb Votes
3070,Atalanta of Scythia,Hercules (2014),ISTJ,3 Pdb Votes
3071,Captain Sotiris,The Legend of Hercules (2014),ENFJ,1 Pdb Vote
3072,Baron Wolf von Frankenstein,Frankenstein,XXXX,1 Pdb Vote
3073,Jackie Elliot,Billy Elliot (2000),ISTJ,26 Pdb Votes
3074,Flanagan,Mary and the Witch's Flower (2017),ISTJ,12 Pdb Votes
3075,Captain Waggoner,Fury (2014),ISTJ,13 Pdb Votes
3076,Charlotte Lucas,Pride and Prejudice and Zombies (2016),ISTJ,3 Pdb Votes
3077,Mary Bennet,Pride and Prejudice and Zombies (2016),ISTJ,1 Pdb Vote
3078,Marius de Romanus,Queen of the Damned,ISTJ,8 Pdb Votes
3079,Lt. Mitch Kellaway,The Mask (1994),ISTJ,34 Pdb Votes
3080,Upson Pratt,Creepshow (1982),ISTJ,9 Pdb Votes
3081,Steven Murphy,The Killing of a Sacred Deer (2017),ISTJ,45 Pdb Votes
3082,Ryota Nonomiya,"Like Father, Like Son (2013)",ISTJ,5 Pdb Votes
3083,Earl McGraw,Planet Terror (2007),ISTJ,5 Pdb Votes
3084,Mr. Woolensworth,Chicken Little (2005),ISTJ,7 Pdb Votes
3085,Melvin,Chicken Little (2005),ISTJ,7 Pdb Votes
3086,Doli,The Black Cauldron (1985),ISTJ,12 Pdb Votes
3087,Vivian Wood,Charlie’s Angels (2000),ISTJ,1 Pdb Vote
3088,Lewis,Teen Wolf (1985),ISTJ,3 Pdb Votes
3089,Sam Baines,Back to the Future (Series),ISTJ,19 Pdb Votes
3090,Maggie McFly,Back to the Future (Series),ISTJ,23 Pdb Votes
3091,Henry Fitzgerald,Ginger Snaps (2000-2004),ISTJ,13 Pdb Votes
3092,Mrs. Lisbon,The Virgin Suicides (2000),ISTJ,66 Pdb Votes
3093,Boggis,Fantastic Mr. Fox,ISTJ,3 Pdb Votes
3094,Kerchak,The Legend of Tarzan (2016),ISTJ,1 Pdb Vote
3095,"Robert Gascoyne-Cecil, 3rd Marquess of Salisbury, the British Prime Minister",The Legend of Tarzan (2016),ISTJ,4 Pdb Votes
3096,Meredith Morton,The Family Stone,ISTJ,24 Pdb Votes
3097,Camile Stoller,Love You to Death (2019),ISTJ,6 Pdb Votes
3098,Charles Winstead,Public Enemies (2009),ISTJ,2 Pdb Votes
3099,Agent Melvin Purvis,Public Enemies (2009),ISTJ,22 Pdb Votes
3100,Lucan,King Arthur (2004),ISTJ,2 Pdb Votes
3101,White Queen,Resident Evil,ISTJ,2 Pdb Votes
3102,The Groundhog,Bambi (1942),ISTJ,3 Pdb Votes
3103,The Porcupine,Bambi (1942),ISTJ,10 Pdb Votes
3104,India Wilkes,Gone with the Wind (1939),ISTJ,9 Pdb Votes
3105,John Wilkes,Gone with the Wind (1939),ISTJ,2 Pdb Votes
3106,Mika,Night on Earth (1991),ISTJ,5 Pdb Votes
3107,Priest,Night on Earth (1991),ISTJ,5 Pdb Votes
3108,Colonel Mackenzie,1917 (2019),ISTJ,59 Pdb Votes
3109,Rufus Scrimgeour,Harry Potter / Wizarding World Films,ISTJ,34 Pdb Votes
3110,Mr. Dawson,Dunkirk (2017),ISTJ,18 Pdb Votes
3111,Aftab Ackbar,Star Wars,ISTJ,13 Pdb Votes
3112,Boolio,Star Wars,ISTP,3 Pdb Votes
3113,BB-9E,Star Wars,ISTJ,32 Pdb Votes
3114,Edrison Peavey,Star Wars,ISTJ,9 Pdb Votes
3115,Bazine Netal,Star Wars,ISTJ,17 Pdb Votes
3116,Dr. Cornelius Evazan,Star Wars,ISTJ,23 Pdb Votes
3117,Chief Chirpa,Star Wars,ISTJ,7 Pdb Votes
3118,4-LOM,Star Wars,ISTJ,25 Pdb Votes
3119,Zuckuss,Star Wars,ISTJ,9 Pdb Votes
3120,General Crix Madine,Star Wars,ISTJ,10 Pdb Votes
3121,General Carlist Rieekan,Star Wars,ISTJ,8 Pdb Votes
3122,Tion Medon,Star Wars,ISTJ,13 Pdb Votes
3123,Shu Mai,Star Wars,ISTJ,5 Pdb Votes
3124,Passel Argente,Star Wars,ISTJ,4 Pdb Votes
3125,Jocasta Nu,Star Wars,ISTJ,27 Pdb Votes
3126,Captain Tarpals,Star Wars,ISTJ,14 Pdb Votes
3127,Quarsh Panaka,Star Wars,ISTJ,35 Pdb Votes
3128,Daultay Dofine,Star Wars,ISTJ,14 Pdb Votes
3129,Oppo Rancisis,Star Wars,ISTJ,16 Pdb Votes
3130,Henri Cogsworth,Beauty and the Beast (2017),ISTJ,20 Pdb Votes
3131,Verona,Van Helsing (2004),ISTJ,17 Pdb Votes
3132,Cardinal Jinette,Van Helsing (2004),ISTJ,4 Pdb Votes
3133,Robert Doback,Step Brothers (2008),ISTJ,15 Pdb Votes
3134,Dana Simms,The Internship (2013),ISTJ,10 Pdb Votes
3135,Henry Mitchell,Dennis the Menace (1993),ISTJ,5 Pdb Votes
3136,Joseph Goebbels,Downfall (2004),ISTJ,5 Pdb Votes
3137,Frank Dixon,The terminal (2004),ISTJ,9 Pdb Votes
3138,William Marshal,Robin Hood (2010),ISTJ,8 Pdb Votes
3139,"John Campbell, 2nd Duke of Argyll",Rob Roy (1995),ISTJ,1 Pdb Vote
3140,Alan McDonald,Rob Roy (1995),XXXX,1 Pdb Vote
3141,Detective Dixon,Hot Pursuit (2015),ISTJ,2 Pdb Votes
3142,Officer Rose Cooper,Hot Pursuit (2015),ISTJ,11 Pdb Votes
3143,Richard Morgan,The Ring (2002),ISTJ,13 Pdb Votes
3144,Warren R. Schmidt,About Schmidt (2002),XXXX,6 Pdb Votes
3145,Owen Lars,Star Wars,ISTJ,96 Pdb Votes
3146,Cliegg Lars,Star Wars,ISTJ,22 Pdb Votes
3147,Prince Thun of Ardentia,Flash Gordon (1980),ISTJ,4 Pdb Votes
3148,Peter Guillam,Tinker Tailor Soldier Spy (2011),ISTJ,7 Pdb Votes
3149,Peter the Dutchman,Get Carter (1971),ISTJ,2 Pdb Votes
3150,Dr. Abraham Sapirstein,Rosemary’s Baby (1968),ISTJ,7 Pdb Votes
3151,Mr. Bridger,The Italian Job (1969),ISTJ,1 Pdb Vote
3152,Walter Reilly,Crocodile Dundee,ISTJ,1 Pdb Vote
3153,Koro,Whale Rider (2002),ISTJ,9 Pdb Votes
3154,Lawrence Hammill QC,The Castle (1997),XXXX,1 Pdb Vote
3155,Inspector Frank Bumstead,Dark City,XXXX,3 Pdb Votes
3156,Herbert Siskins,Welt am Draht - World on a Wire (1973),ISTJ,2 Pdb Votes
3157,Hauptmann Gerd Wiesler,The Lives Of Others (2006),ISTJ,43 Pdb Votes
3158,Mr. Jopeck,Willy Wonka and the Chocolate Factory (1971),ISTJ,3 Pdb Votes
