,char,movie,mbti,votes
212,Suzanne Brewer,The Gray Man,ISTJ,28 Pdb Votes
213,Hunt,The Irishman (2019),XXXX,1 Pdb Vote
214,Clare,"Hello, Goodbye, and Everything In Between",ISTJ,37 Pdb Votes
215,Bobby Deerfield,Bobby Deerfield (1977),ISTJ,9 Pdb Votes
216,Guard,Alienoid (2022),ISTJ,7 Pdb Votes
217,Don Cody,Girl in the Basement,ISTJ,26 Pdb Votes
218,Haşmet,Aile Arasinda,ISTJ,9 Pdb Votes
219,Eun Young,Eclipse (2016),XXXX,1 Pdb Vote
220,Andrea Romero ''la rara'',Perras 2011,ISTJ,14 Pdb Votes
221,Master Chao,Kung Fu Panda (Franchise),ISTJ,7 Pdb Votes
222,Mugi Yamane,I Fell in Love Like a Flower Bouquet (2021),XXXX,28 Pdb Votes
223,Doctor,Zhmurki (2005),XXXX,6 Pdb Votes
224,Miki Yoshino,One Cut of the Dead,ISTJ,4 Pdb Votes
225,Will Kane,High Noon,ISTJ,16 Pdb Votes
226,Stormtrooper,Star Wars,ISTJ,82 Pdb Votes
227,Pamela Travers,Saving Mr. Banks (2013),ISTJ,17 Pdb Votes
228,Suki Lane,Sing (Franchise),ISTJ,73 Pdb Votes
229,Władysław Kargul,Sami swoi,ISTJ,6 Pdb Votes
230,Young-Woo,Watching,ISTJ,3 Pdb Votes
231,Jakob Störr,The Story of My Wife (2021),ISTJ,5 Pdb Votes
232,Bronwyn Rojas,One of us is Lying (Show),ISTJ,167 Pdb Votes
233,Thomas Brian Reynolds,Enemy of the state,INTJ,1 Pdb Vote
234,Deputy Vinson,Scream (Franchise),ISTJ,10 Pdb Votes
235,Kosach,Come and See (1985),ISTJ,26 Pdb Votes
236,Samad Mijidi,Just 6.5 (2019),ISTJ,24 Pdb Votes
237,Kate,Carriers (2009),XXXX,1 Pdb Vote
238,Rajan Damodaran,Taare Zameen Par (Like Stars On Earth),ISTJ,13 Pdb Votes
239,Bradley Thomas,Brawl in Cell Block 99,ISTJ,10 Pdb Votes
240,Mette,The Celebration (Dogme 1 : Festen),ISTJ,4 Pdb Votes
241,Melvin Sneedly,Captain Underpants (movie),ISTJ,110 Pdb Votes
242,Major Heinrich Strasser,Casablanca (1942),ISTJ,14 Pdb Votes
243,Alexandra Privet,Barbie: Princess Charm School,ISTJ,79 Pdb Votes
244,Roman,Firebird (2021),ISTJ,52 Pdb Votes
245,Necati,Recep İvedik 4,ISTJ,3 Pdb Votes
246,"Lt. Bradly ""Rooster"" Bradshaw",Top Gun Series,ISTJ,207 Pdb Votes
247,Jim Dear,Lady and the Tramp (1955),ISTJ,15 Pdb Votes
248,Suzi Nakamura,Murder Mystery (2019),ISTJ,8 Pdb Votes
249,Ann,Nurse Ann,XXXX,4 Pdb Votes
250,Macarena Lady,Titane (2021),ISTJ,2 Pdb Votes
251,Janessa,Barbie Presents Thumbelina,ISTJ,14 Pdb Votes
252,Lin Wen-heung,A City of Sadness,ISTJ,2 Pdb Votes
253,Security Guard (Polkovnik),The Green Elephant (1999),ISTJ,41 Pdb Votes
254,Mitchell,Blockers (2018),ISTJ,11 Pdb Votes
255,Alžbětka's Father,Little Otik (Otesánek),ESTJ,1 Pdb Vote
256,Capulet,Romeo and Juliet (1968),XXXX,3 Pdb Votes
257,Bobby Joe Long,Believe Me: The Abduction of Lisa McVey,ISTJ,17 Pdb Votes
258,Emmett,A Quiet Place (2018),ISTJ,143 Pdb Votes
259,Steven,The Uninvited (2009),XXXX,4 Pdb Votes
260,Tom Burgess,My Policeman (2022),ISTJ,47 Pdb Votes
261,Pig,The Big Bad Fox and Other Tales... (2017),ISTJ,11 Pdb Votes
262,Deems Taylor,Walt Disney's Fantasia (1940),ISTJ,4 Pdb Votes
263,Tom Welles,8MM (1999),ISTJ,11 Pdb Votes
264,Marian Paroo,The Music Man (1962),ISTJ,42 Pdb Votes
265,Dr. Sylvester,Metal Lords (2021),ISTJ,5 Pdb Votes
266,Perry Kelvin,Warm Bodies (2013),ISTJ,8 Pdb Votes
267,Nyla Chones,Freaky (2020),ISTJ,20 Pdb Votes
268,Claudia,Moxie (2021),ISTJ,155 Pdb Votes
269,Lord Rogers,The Swan Princess (1994),ISTJ,8 Pdb Votes
270,Methuselah,MonsterVerse,ISTJ,12 Pdb Votes
271,Leonardo,Teenage Mutant Ninja Turtles (2014),ISTJ,71 Pdb Votes
272,Argus Filch,Harry Potter / Wizarding World Films,ISTJ,115 Pdb Votes
273,Alex Ulloa,"The Body ""El Cuerpo"" (2012)",ISTJ,10 Pdb Votes
274,Junior,Storks (2016),ISTJ,44 Pdb Votes
275,O Doutrinador/ Miguel Montessanti,O Doutrinador,ISTJ,26 Pdb Votes
276,Maquina,Ferdinand (Olé el Viaje de Ferdinand),ISTJ,9 Pdb Votes
277,Mitch,Old School (2003),ISTJ,11 Pdb Votes
278,Ben Weatherstaff,The Secret Garden (1993),ISTJ,4 Pdb Votes
279,Mason,Madagascar (Franchise),ISTJ,101 Pdb Votes
280,Chuzzlewit,Barbie In A Christmas Carol,ISTJ,17 Pdb Votes
281,Grimsby,The Little Mermaid (1989),ISTJ,39 Pdb Votes
282,Guard,Stardust (2007),ISTJ,16 Pdb Votes
283,Godefroy de Montmirail,Les Visiteurs,ISTJ,34 Pdb Votes
284,The Blind Man,Don't Breathe (2016),ISTJ,80 Pdb Votes
285,Paddy Button,The Blue Lagoon (1980),ISTJ,7 Pdb Votes
286,David Moreau / The Prince,Black Swan (2010),ISTJ,32 Pdb Votes
287,Mark,Possession (1981),ISTJ,111 Pdb Votes
288,Aparichit,Aparichit,ISTJ,14 Pdb Votes
289,Jenny Parker,Adventures in Babysitting (2016),ISTJ,96 Pdb Votes
290,Linthorn,Enola Holmes (2020),ISTJ,25 Pdb Votes
291,Christopher Da Silva,Silent Hill (2006-2012),ISTJ,15 Pdb Votes
292,James Turner,Death Note (2017),ISTJ,20 Pdb Votes
293,Master,Viy 2: Journey to China (2020),XXXX,1 Pdb Vote
294,Frank Darbo / Crimson Bolt,Super (2010),ISTJ,53 Pdb Votes
295,Doggy,The Room (2003),ISTJ,61 Pdb Votes
296,Simon J. Paladino “Gazerbeam”,The Incredibles (Franchise),ISTJ,19 Pdb Votes
297,"Jon Martello, Jr.",Don Jon (2013),ISTJ,40 Pdb Votes
298,Soon-Yi,A Werewolf Boy (2012),ISTJ,6 Pdb Votes
299,André Matias,Tropa de Elite (Franchise),ISTJ,152 Pdb Votes
300,Nandkishore Awasthi,Taare Zameen Par (Like Stars On Earth),ISTJ,26 Pdb Votes
301,Shane Wolfe,The Pacifier (2005),ISTJ,32 Pdb Votes
302,Grace Stewart,The others (2001),ISTJ,89 Pdb Votes
303,Duncan Mee,We Bought A Zoo,XXXX,8 Pdb Votes
304,Mrs. Medlock,The Secret Garden (1993),ISTJ,19 Pdb Votes
305,Lord Archibald Craven,The Secret Garden (1993),ISTJ,34 Pdb Votes
306,Sheba,Django Unchained (2012),ISTJ,8 Pdb Votes
307,McKenzie,Teen Beach Movie,ISTJ,149 Pdb Votes
308,John Hartigan,Sin City (franchise),ISTJ,41 Pdb Votes
309,Dora,Central Station (1998),ISTJ,49 Pdb Votes
310,Rev. Graham Hess,Signs (2002),ISTJ,50 Pdb Votes
311,Jeannette Walls,The Glass Castle (2017),ISTJ,45 Pdb Votes
312,Ed Masry,Erin Brockovich (2000),ISTJ,18 Pdb Votes
313,Principal Ron Duvall,Mean Girls (2004),ISTJ,123 Pdb Votes
314,Ellison Oswalt,Sinister Series,ISTJ,86 Pdb Votes
315,Eliot Ness,The Untouchables (1987),ISTJ,32 Pdb Votes
316,Kimmy Jin,Pitch Perfect (Series),ISTJ,21 Pdb Votes
317,Dr. Griffiths,Tinker Bell (2008),ISTJ,49 Pdb Votes
318,Thomas Hewitt / Leatherface,The Texas Chainsaw Massacre (Franchise),ISTJ,99 Pdb Votes
319,Queen Victoria,The Young Victoria (2009),ISTJ,13 Pdb Votes
320,Byakuya Kuchiki,Bleach (2018),ISTJ,8 Pdb Votes
321,Sergeant Tibbs,One Hundred and One Dalmatians (1961),ISTJ,14 Pdb Votes
322,Nick Hendricks,Horrible Bosses (2011),ISTJ,70 Pdb Votes
323,Eugene Felsnick,Grease (1978),ISTJ,14 Pdb Votes
