,id,person_mbti,mbti_test,character,movie
541,41,INFJ,16Personalities,Leia Organa/Star Wars Franchise,
791,41,INFJ,16Personalities,Dani,Midsommar
167,42,ENTJ,16Personalities,Miles Morales,Spider-Man: Into the Spider-Verse
417,42,ENTJ,16Personalities,Hogarth Hughes,The Iron Giant
667,42,ENTJ,16Personalities,Peter Parker,Spiderman
1042,42,ENTJ,16Personalities,Jim Preston,Passengers
1167,42,ENTJ,16Personalities,Mark Watney,The Martian
42,42,ENTJ,16Personalities,Hiro Hamada,Big Hero 6
542,42,ENTJ,16Personalities,Tony Stark,Iron Man
292,42,ENTJ,16Personalities,Mai,Next Gen
792,42,ENTJ,16Personalities,Neo,Matrix
917,42,ENTJ,16Personalities,Dr. Emmett Brown,Back to the Future
293,43,ISTJ,16Personalities,Howl,Howl’s Moving Castle
43,43,ISTJ,16Personalities,Park Ki Joon,Midnight Runners
168,43,ISTJ,16Personalities,Padre Burgos,Gomburza
418,43,ISTJ,16Personalities,Shun,From Up on Poppy Hill
1044,44,INFP,Cognitive functions self-typing,Mei Mei,Jujutsu Kaisen: 0
669,44,INFP,Cognitive functions self-typing,Barbie,Barbie and the secret of the wings
294,44,INFP,Cognitive functions self-typing,Isabelle Madrigal,Encanto
44,44,INFP,Cognitive functions self-typing,Elle Woods,Legally Blondes
794,44,INFP,Cognitive functions self-typing,Rajun,3 idiots
419,44,INFP,Cognitive functions self-typing,Howl,Howl's Moving Castle
919,44,INFP,Cognitive functions self-typing,Elsa,Frozen 
544,44,INFP,Cognitive functions self-typing,Sophie,Howl's Moving Castle
1169,44,INFP,Cognitive functions self-typing,Gojo,Jujutsu Kaisen: 0
169,44,INFP,Cognitive functions self-typing,Regina George,Mean Girls
545,45,INFJ,16Personalities,Andy Dufresne,The Shawshank Redemption
795,45,INFJ,16Personalities,John Anderton,Minority Report
920,45,INFJ,16Personalities,John Miller,Saving Private Ryan
670,45,INFJ,16Personalities,Forrest Gump,Forrest Gump
170,45,INFJ,16Personalities,Joseph Cooper,Interstellar
45,45,INFJ,16Personalities,Bruce Wayne,The Dark Knignt
295,45,INFJ,16Personalities,Paul Hunham,The Holdovers
420,45,INFJ,16Personalities,Oskar Schindler,Schindler's List
1170,45,INFJ,16Personalities,John Nash,A Beautiful Mind
1045,45,INFJ,16Personalities,Riggan Thomson,Birdman
421,46,INFJ,I forgot,Galadriel,Lord Of The Rings The Two Towers
671,46,INFJ,I forgot,Katniss Everdeen,Hunger Games
546,46,INFJ,I forgot,Hermione Granger,Harry Potter Goblet Of Fire
921,46,INFJ,I forgot,Elizabeth Bennet,Pride And Prejudice(2005)
1171,46,INFJ,I forgot,Nina,Point Of No Return
171,46,INFJ,I forgot,Trinity,Matrix 1
1046,46,INFJ,I forgot,Jane Smith,Mr & Mrs Smith
