char,movie,mbti,votes
Théo,The Dreamers (2003),INFP,147 Pdb Votes
The Little Prince,The Little Prince (2015),INFP,156 Pdb Votes
Desmond Doss,Hacksaw Ridge (2016),INFP,363 Pdb Votes
"David ""Dave"" Lizewski (Kick-Ass)",Kick-Ass (2010),INFP,169 Pdb Votes
Stanley Ipkiss,The Mask (1994),INFP,226 Pdb Votes
Elio Perlman,Call Me by Your Name (2017),INFP,1.7k Pdb Votes
Dominik Santorski,Suicide Room (2011) (Sala Samobójców),INFP,274 Pdb Votes
Rose Weil,Ocean's 8 (2018),INFP,92 Pdb Votes
Juliet Sykes,Before I Fall (2017),INFP,56 Pdb Votes
Madeleine Swann,James Bond Film Series,INFP,269 Pdb Votes
Jame Gumb “Buffalo Bill”,The Silence of the Lambs (1991),INFP,302 Pdb Votes
Regan MacNeil,The Exorcist (1973),INFP,77 Pdb Votes
Lester Burnham,American Beauty (1999),INFP,393 Pdb Votes
Sarah,Labyrinth (1986),INFP,244 Pdb Votes
Selma Jezkova,Dancer in the Dark (2000),INFP,145 Pdb Votes
Hazel Grace Lancaster,The Fault in Our Stars (2014),INFP,344 Pdb Votes
Christopher Robin,Winnie the Pooh (Franchise),INFP,284 Pdb Votes
Fabienne,Pulp Fiction (1994),INFP,328 Pdb Votes
Ben Hanscom,It (2017),INFP,504 Pdb Votes
Mary Bennet,Pride and Prejudice (2005),INFP,262 Pdb Votes
Bronagh,Song of the Sea (2014),INFP,46 Pdb Votes
Norman Babcock,ParaNorman (2012),INFP,286 Pdb Votes
Evey Hammond,V for Vendetta (2005),INFP,289 Pdb Votes
Robert Fischer,Inception (2010),INFP,236 Pdb Votes
Anne Shirley,Anne of Green Gables (1985),INFP,611 Pdb Votes
Arwen Undómiel,The Lord of the Rings (Film Trilogy),INFP,670 Pdb Votes
Faramir,The Lord of the Rings (Film Trilogy),INFP,406 Pdb Votes
Bookstore Owner,Perfect Days (2023),XXXX,1 Pdb Vote
Frank Fowler,In the Bedroom (2001),ISFP,1 Pdb Vote
Mr. Fowler,Separate Tables (1958),XXXX,1 Pdb Vote
Homeless Man,The Final Destination (2009),XXXX,1 Pdb Vote
Anne Gauthier,A Man and a Woman (1966),XXXX,2 Pdb Votes
Mikey,Lord of the Flies (1990),ISFP,1 Pdb Vote
Peter,Lord of the Flies (1990),ISFJ,1 Pdb Vote
Greg,Lord of the Flies (1990),XXXX,1 Pdb Vote
Alice (Jessica's Stepdaughter),Imaginary,INFP,2 Pdb Votes
Krishnadas PS,Abraham Ozler (2024),INFP,2 Pdb Votes
Carrie,Smokey and the Bandit,INFP,10 Pdb Votes
Robert Winsor,Riverhead (2016),INFP,10 Pdb Votes
Kirby,Spoiler Alert (2022),XXXX,1 Pdb Vote
Renata,"Salò, or the 120 days of Sodom",INFP,12 Pdb Votes
Александр Щиголев,Король и Шут,XXXX,1 Pdb Vote
Water,Elemental,INFP,6 Pdb Votes
Kisaragi Maaya,"And Yet, You Are So Sweet (2023)",INFP,4 Pdb Votes
Oscar,The Orphanage,INFP,6 Pdb Votes
the 12 fingered pianist,Gattaca (1997),XXXX,3 Pdb Votes
Anna,The Last Voyage of the Demeter,XXXX,8 Pdb Votes
Alexis Hounié,La Sociedad de la Nieve (Society of the Snow),XXXX,4 Pdb Votes
Kate Cooper,Twisters (2024),INFP,1 Pdb Vote
Hathi Jr.,The Jungle Book (1967),XXXX,3 Pdb Votes
Quiet,Orion and the Dark (2024),INFP,63 Pdb Votes
Claire,I'm Not There (2007),INFP,11 Pdb Votes
Baron,Marmalade (2024),INFP,19 Pdb Votes
Water talent,Tinker Bell (2008),INFP,7 Pdb Votes
Вика ,"Все умрут, а я останусь (2008)",XXXX,2 Pdb Votes
Chen Li,Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
Тhe Master,The Master and Margarita (2024),INFP,29 Pdb Votes
Jae Min,Citizen of a Kind (2024),XXXX,1 Pdb Vote
Felicity,Poor Things,INFP,33 Pdb Votes
Rose Sandford,Leave the World Behind,INFP,45 Pdb Votes
Ally Leon,Tusk,INFP,2 Pdb Votes
Embarrassment,Inside Out (Franchise),INFP,120 Pdb Votes
Cora Cartmell,Titanic (1997),XXXX,8 Pdb Votes
Bob (Old Security Guard),Five Nights at Freddy's (Movie),INFP,19 Pdb Votes
Bazeema,Wish (2023),INFP,51 Pdb Votes
Liza,Liza a rókatündér/ Liza the Fox-fairy (2015),INFP,1 Pdb Vote
"Malala Windsor ""Spider-UK""",Spider-Man: Across the Spider-Verse (2023),INFP,7 Pdb Votes
Eileen Dunlop,Eileen (2023),INFP,33 Pdb Votes
Anna,The Innocents (2021),INFP,9 Pdb Votes
Yordan Kostov,World of Walker,INFP,9 Pdb Votes
Hibiki Aida,See Hear Love,INFP,2 Pdb Votes
Pembeşeker,Gora-Arog-V216 Triology,XXXX,1 Pdb Vote
Min-Soo,My Heart Puppy,XXXX,1 Pdb Vote
Charles van Druten,Lured (1947),INFP,11 Pdb Votes
Aurora,Wreck-It Ralph (Franchise),INFP,4 Pdb Votes
Belle,Wreck-It Ralph (Franchise),INFP,10 Pdb Votes
Paul Rawlins,Bedknobs and Broomsticks (1971),INFP,3 Pdb Votes
Lao,Kung Fu Panda (Franchise),INTP,1 Pdb Vote
Doug Holt,Inventing the Abbotts (1997),INFP,7 Pdb Votes
Manana,Vacations of Petrov and Vasechkin (1984),INTP,1 Pdb Vote
"Peter Parker ""Spider-man"" PS1",Spider-Man: Across the Spider-Verse (2023),INFP,10 Pdb Votes
Maya,K-12 (2019),INFP,7 Pdb Votes
"Peter Parker ""The Lizard"" (Earth-65B)",Spider-Man: Across the Spider-Verse (2023),INFP,142 Pdb Votes
Luci,"Pepi, Luci, Bom y otras chicas del montón (1980)",INFP,5 Pdb Votes
Ione,Detention (2011),XXXX,4 Pdb Votes
Princess Yashodara,buddha: the great departure,INFP,3 Pdb Votes
Sir John Carteret,Smilin' Through (1932),INFP,2 Pdb Votes
Rosaleen,The Company of Wolves,INFP,5 Pdb Votes
Ben,Blue Velvet (1986),INFP,8 Pdb Votes
Kindergarten teacher,Balloon (2018),XXXX,1 Pdb Vote
Gil Jae-Young,Kill Boksoon (2023),INFP,48 Pdb Votes
Cáit,The Quiet Girl (2022),INFP,20 Pdb Votes
Snow White,Happily Ever After (1990),INFP,6 Pdb Votes
Adam 'Bug' Hellerman,My Soul to Take (2010),INFP,4 Pdb Votes
Na-Mi,unlocked,INFP,56 Pdb Votes
Nobita Nobi,Stand By Me Doraemon 2 (2020),INFP,14 Pdb Votes
Calum Paterson,Aftersun (2022),INFP,94 Pdb Votes
Shorty,Killer Klowns from Outer Space (1988),XXXX,7 Pdb Votes
Gregor,The School for Good and Evil,INFP,49 Pdb Votes
Robert Franklin,Rise of the Planet of Apes,INFP,1 Pdb Vote
Corey Cunningham,Halloween Ends,INFP,40 Pdb Votes
Aditha Karikalan,Ponniyin Selvan (2022-23),INFP,35 Pdb Votes
Jay Cavendish,Slow West (2015),INFP,12 Pdb Votes
Meredith,Detachment,INFP,42 Pdb Votes
Badru (Badrunissa),Darlings,INFP,21 Pdb Votes
Melanie Porter,Passport to Paris (1999),INFP,4 Pdb Votes
Kennedy Smith,Honor Society (2022),INFP,24 Pdb Votes
Electronic,The Adventures of Electronic (1979),INFP,17 Pdb Votes
Tyler Burnside,The Clovehitch Killer,INFP,7 Pdb Votes
Marina,Turma da Mônica,INFP,26 Pdb Votes
Lalita ,Bride And Prejudice,INFP,6 Pdb Votes
Clover,Cloverfield (2008),INFP,16 Pdb Votes
Nikolai Bulganin,The Death Of Stalin (2017),XXXX,13 Pdb Votes
Ella,Happily N'Ever After,INFP,31 Pdb Votes
Andrei Romanovich Chikatilo,Chikatilo,INFP,28 Pdb Votes
Rock,My True Friend (2012),INFP,14 Pdb Votes
Song,My True Friend (2012),INFP,14 Pdb Votes
Lady Jane Grey,Lady Jane (1986),XXXX,18 Pdb Votes
Ophelia,Ophelia,INFP,50 Pdb Votes
Paige Evans,Crush (2022),INFP,117 Pdb Votes
Diana Gordon,Saw Series (2004),INFP,11 Pdb Votes
Little CJ,District 9 (2009),INFP,10 Pdb Votes
Lila,The Texas Chainsaw Massacre (Franchise),INFP,53 Pdb Votes
Muzaffer Tayyip Uslu,The Butterfly's Dream,INFP,8 Pdb Votes
Joseph,Joseph: King of Dreams,INFP,39 Pdb Votes
Diane Farrow,Love Potion No. 9,XXXX,1 Pdb Vote
Hiroshi Yamanouchi,One Cut of the Dead,INFP,7 Pdb Votes
Tim Cornish,No Night Is Too Long,INFP,10 Pdb Votes
Apolo Hidalgo,Through My Window (a través de mi ventana),INFP,25 Pdb Votes
Ian Curtis,Control (2007),INFP,43 Pdb Votes
Tammy,Barbie In A Christmas Carol,INFP,7 Pdb Votes
Sarah,Silent House,INFP,10 Pdb Votes
Abby,Beautiful Disaster,INFP,41 Pdb Votes
Frances McCullen,Greta (2018),INFP,10 Pdb Votes
Cat lady,Terrifier,INFP,23 Pdb Votes
Clumsy Smurf,The Smurfs (2011),INFP,14 Pdb Votes
Lumpy,Winnie the Pooh (Franchise),INFP,22 Pdb Votes
Kitten,Sparkshorts (Pixar Artists Projects),INFP,4 Pdb Votes
"Anthony ""Tick"" Belrose / Mitzi Del Bra",The Adventures of Priscilla: Queen of the Desert,INFP,14 Pdb Votes
Elisabeth,Vinterviken (2021),XXXX,6 Pdb Votes
Leon Scott Kennedy,Resident Evil: Welcome to Raccoon City,INFP,35 Pdb Votes
Gwen Thompson,Chrissa Stands Strong (2009),ISFJ,8 Pdb Votes
Ha Young-eun,Innocent Thing (2014),XXXX,13 Pdb Votes
Tess DeNunzio,Dear Zoe,INFP,50 Pdb Votes
Cinderella,Rodgers and Hammerstein's Cinderella (1997),INFP,3 Pdb Votes
Julia Helen Mitchell,Gabriel's Inferno Series,INFP,4 Pdb Votes
Abby,The Collector,INFP,32 Pdb Votes
