char,movie,mbti,votes
Ida,The Innocents (2021),ISTP,9 Pdb Votes
Yong-hoo,The Divine Fury (2019),ISTP,8 Pdb Votes
Eom Joong-ho,The Chaser(2008),ISTP,5 Pdb Votes
Jack Salter,Gran Turismo (2023),ISTP,58 Pdb Votes
Lechuga,Metegol (Underdogs),ISTP,3 Pdb Votes
Silenzio (Silence),The Great Silence (1968),XXXX,6 Pdb Votes
Ben Matthias,Haunted Mansion (2023),ISTP,54 Pdb Votes
Bimba,The Wages of Fear,ISTP,5 Pdb Votes
Sandra Carpenter ,Lured (1947),ISTP,12 Pdb Votes
Bliss,"Ruby Gillman, Teenage Kraken (2023)",ISTP,12 Pdb Votes
Гена Бобков «Пуля»,Demobbed/ДМБ,ISTP,7 Pdb Votes
Pavel,Nobody,ISTP,3 Pdb Votes
Ma Il-young,Coin Locker Girl (2015),ISTP,5 Pdb Votes
Nightbird,Transformers: Rise of the Beasts,ISTP,14 Pdb Votes
Erich Lohkamp,Three Comrades (1938),XXXX,2 Pdb Votes
"Michael ""Mi"" Taylor",National Velvet (1944),XXXX,1 Pdb Vote
Josette Martel,Journey into Fear (1943),ISTP,10 Pdb Votes
Lieutenant Frederic Henry,A Farewell to Arms (1932),ISTP,3 Pdb Votes
Şevkat Yerimdar,Şevkat Yerimdar,ISTP,9 Pdb Votes
The Mother,The Mother (2023),ISTP,32 Pdb Votes
Susie Bannion's mother,Suspiria (2018),ISTP,3 Pdb Votes
Bella,Dog (2022),XXXX,1 Pdb Vote
Bridget,Hereditary (2018),ISTP,25 Pdb Votes
Colin Smith,The loneliness of the long distance runner (film),ISTP,12 Pdb Votes
Afonya (Afanasy Borshchov),Afonya,ISTP,16 Pdb Votes
Dharma,777 Charlie (2022),ISTP,8 Pdb Votes
Tyler Gage,Step Up (2006),ISTP,21 Pdb Votes
Augustus Landor,The Pale Blue Eye (2022),ISTP,73 Pdb Votes
Joe Hallenbeck,The Last Boy Scout (1991),ISTP,26 Pdb Votes
Tracy Johnston,Grimcutty,XXXX,1 Pdb Vote
Raphael,TMNT (2007),ISTP,59 Pdb Votes
Robert Talley,Smile,ISTP,5 Pdb Votes
Katie,School of Rock (2003),ISTP,5 Pdb Votes
Ellie,The Whale (2022),ISTP,299 Pdb Votes
Alex Forbes,Like minds,ISTP,20 Pdb Votes
Abhilash Sharma,Aspirants [web series],ISTP,15 Pdb Votes
Frank,Pusher Trilogy,ISTP,22 Pdb Votes
Court Gentry / Sierra Six,The Gray Man,ISTP,188 Pdb Votes
Naru,Predator,ISTP,137 Pdb Votes
Jo Hyeon,The Witch: Part 2. The Other One,ISTP,26 Pdb Votes
Boogie El Aceitoso,Boogie El Aceitoso,ISTP,17 Pdb Votes
Skrill,How to Train Your Dragon (Franchise),ISTP,32 Pdb Votes
Caleb Holt,Fireproof (2008),ISTP,4 Pdb Votes
Champ,My True Friend (2012),ISTP,6 Pdb Votes
Tyrannosaurus rex,Walt Disney's Fantasia (1940),ISTP,4 Pdb Votes
Night Fury,How to Train Your Dragon (Franchise),ISTP,34 Pdb Votes
Jeremiah Johnson,Jeremiah Johnson,ISTP,5 Pdb Votes
Helene,Burnt,ISTP,8 Pdb Votes
Koso,The Raid 2: Berendal (2014),ISTP,11 Pdb Votes
Katniss Everdeen,Tales Of The Hunger Games (TOTHG),ISTP,19 Pdb Votes
Binky Nelson,Despicable Me (Franchise),ISTP,6 Pdb Votes
"""Fast"" Eddie Felson",The Hustler (1961),ISTP,18 Pdb Votes
Sonny Harper,Moonfall (2022),ISTP,16 Pdb Votes
Elia Codogno,Il bisbetico domato (The Taming of the Scoundrel),ISTP,10 Pdb Votes
Ilya,Heaven knows what,ISTP,12 Pdb Votes
Jang Chen,THE OUTLAWS (2017),XXXX,27 Pdb Votes
Jennifer,Climax (2018),ISTP,2 Pdb Votes
Royce,Predators (2010),ISTP,19 Pdb Votes
Stachu Jones,Magnaci i Czarodzieje,ISTP,39 Pdb Votes
Tommy Nix,Offender,ISTP,8 Pdb Votes
Maeve Rojas,One of us is Lying (Show),ISTP,108 Pdb Votes
Nick Persons,Are We There Yet?,ISTP,21 Pdb Votes
Ares Hidalgo,Through My Window (a través de mi ventana),ISTP,237 Pdb Votes
ashwathama,Mahabharat,XXXX,8 Pdb Votes
Jessica,Alone,ISTP,6 Pdb Votes
Molotov girl,Free Guy (2021),ISTP,106 Pdb Votes
Carl Bentley,Jumanji (1995),ISTP,14 Pdb Votes
Ruth Slater,The Unforgivable (2021),ISTP,60 Pdb Votes
Handy Smurf,The Smurfs (2011),ISTP,3 Pdb Votes
Sarah Connor,Terminator,ISTP,225 Pdb Votes
Ralph Sarchie,Deliver Us from Evil(2014),ISTP,26 Pdb Votes
Samantha Williams,Contracted (2013),XXXX,4 Pdb Votes
Frank,Cars (Franchise),ISTP,38 Pdb Votes
Catwoman,CATWOMAN: HAUNTED (2021),ISTP,20 Pdb Votes
Herman Howards,Hello Herman (2012),XXXX,23 Pdb Votes
Suzane von Richthofen (A Menina que Matou os Pais),O Menino que Matou Meus Pais / A Menina que Matou os Pais (2021),ISTP,80 Pdb Votes
Pindol,pipeline,ISTP,14 Pdb Votes
Gaye,Recep İvedik 4,ISTP,4 Pdb Votes
Chuck Norris,Sidekicks (1992),ISTP,7 Pdb Votes
Mr Choi,The Witch: Part 1. The Subversion,ISTP,12 Pdb Votes
Johnny Blaze (Ghost Rider),Ghost Rider (Film Series),ISTP,50 Pdb Votes
Cooke,Commando (1985),ISTP,5 Pdb Votes
Clay Calloway,Sing (Franchise),ISTP,150 Pdb Votes
Lord Have Mercy,Norbit (2007),ISTP,20 Pdb Votes
John Carter,John Carter (2012),ISTP,10 Pdb Votes
Kal,Hotel Transylvania (2012),ISTP,11 Pdb Votes
DeSoto,Oliver & Company (1988),ISTP,5 Pdb Votes
Chitti,Enthiran,ISTP,19 Pdb Votes
Django,Django (1966),ISTP,36 Pdb Votes
Big Floppa,Floppaverse,ISTP,49 Pdb Votes
