char,movie,mbti,votes
Abigail,The World to Come (2020),INFJ,43 Pdb Votes
Alice,Lake Mungo,INFJ,10 Pdb Votes
Nicky Flippers,Hoodwinked! (2005),INFJ,33 Pdb Votes
Veer Pratap Singh,Veer Zaara,INFJ,19 Pdb Votes
Xiao Mei,House of Flying Daggers (2004),INFJ,16 Pdb Votes
Ruth Connors,The Lovely Bones (2009),INFJ,41 Pdb Votes
Lena Duchannes,Beautiful Creatures (2013),INFJ,72 Pdb Votes
Jonathan,In a Heartbeat (2017),INFJ,71 Pdb Votes
Detlef,Christiane F. (1981),INFJ,50 Pdb Votes
Charlotte A. Cavatica the Spider,Charlotte's Web,INFJ,7 Pdb Votes
Chiyo Sakamoto / Sayuri,Memoirs of a Geisha (2005),INFJ,103 Pdb Votes
Ojo,We Can Be Heroes (2020),INFJ,55 Pdb Votes
Carl Jung,Soul (2020),INFJ,180 Pdb Votes
Beth Martin,When in Rome (2010),INFJ,31 Pdb Votes
Elle,"Hiroshima, Mon Amour (1959)",INFJ,63 Pdb Votes
Beverly Rink,13 going on 30 (2004),INFJ,8 Pdb Votes
Capable,Mad Max (1979),XXXX,28 Pdb Votes
Geneviève Emery,"The Umbrellas of Cherbourg (Les Parapluies de Cherbourg, 1964)",INFJ,25 Pdb Votes
Alice Chambers,Don't Worry Darling (2022),INFJ,290 Pdb Votes
Tom Ripley,Purple Noon (1960),INFJ,43 Pdb Votes
Travis Brody,Hannah Montana: The Movie (2009),INFJ,14 Pdb Votes
Domingas,Bacurau (2019),INFJ,19 Pdb Votes
