char,movie,mbti,votes
Steve-O (Darius Peltz),Inside Man (2006),ESTP,2 Pdb Votes
Eric,Exotica (1994),ENTP,10 Pdb Votes
Blinker,Victoria (2015),XXXX,1 Pdb Vote
Horst,Shrek (Franchise),XXXX,2 Pdb Votes
Dieter,Shrek (Franchise),XXXX,2 Pdb Votes
Heimlich,Shrek (Franchise),XXXX,2 Pdb Votes
Pirro,La Chimera,XXXX,1 Pdb Vote
James Holt,The Devil Wears Prada (2006),XXXX,1 Pdb Vote
Alfredo Cibils,La Sociedad de la Nieve (Society of the Snow),XXXX,4 Pdb Votes
"Sofía ""Sofi"" Fojo",Señora Influencer (2023),ENTP,6 Pdb Votes
Sparky,Five Nights at Freddy's (Movie),XXXX,3 Pdb Votes
Boogaloo Jones,"Hey, Good Lookin' (1982)",ENTP,2 Pdb Votes
Insomnia,Orion and the Dark (2024),ENTP,15 Pdb Votes
Jan Sienkiewicz,Piep*zyć Mickiewicza,ENTP,8 Pdb Votes
Charles Seaboldt,Detachment,ENTP,5 Pdb Votes
Leo,Anyone but You,ENTP,15 Pdb Votes
Денис Коневич,Слово пацана. Кровь на асфальте / Slovo patsana,ENTP,43 Pdb Votes
Rudy Ray Moore,Dolemite Is My Name (2019),ENTP,4 Pdb Votes
John Carver,Thanksgiving (2023),ENTP,17 Pdb Votes
Roberta Williams,Mars Express,ENTP,2 Pdb Votes
Sami,Six and Five 2011 (شیش و بش),ENTP,2 Pdb Votes
Jina,Beauty Water (기기괴괴 성형수),ENTP,3 Pdb Votes
Louis XV,Jeanne Du Barry,ENTP,2 Pdb Votes
Saori Mugino,Monster (2023),ENTP,26 Pdb Votes
Johnny English,Johnny English Strikes Again (2018),XXXX,10 Pdb Votes
Kelsie Morrison,Killers of the Flower Moon,ENTP,10 Pdb Votes
Aiden,Argylle (2024),ENTP,35 Pdb Votes
Garrett,Going the Distance,ENTP,7 Pdb Votes
Richi,Ulidavaru Kandanthe,ENTP,7 Pdb Votes
Malcolm,A Haunted House (2013),XXXX,1 Pdb Vote
Arif Işık,Gora-Arog-V216 Triology,ENTP,5 Pdb Votes
Jason Shepherd,Big Fat Liar (2002),ENTP,6 Pdb Votes
Father Kent,Haunted Mansion (2023),ENTP,62 Pdb Votes
Ty,The Beanie Bubble (2023),ENTP,6 Pdb Votes
Ariadne Oliver,A Haunting in Venice,ENTP,40 Pdb Votes
Hayato Ichimonji/Kamen Rider  No. 2,Shin Kamen Rider,ENTP,12 Pdb Votes
Professor Emelius Browne,Bedknobs and Broomsticks (1971),ENTP,3 Pdb Votes
Sum,Kung Fu Panda (Franchise),ISTP,1 Pdb Vote
Rabia,Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
Adam Cook,An American in Paris (1951),ENTP,5 Pdb Votes
Irvine,Heaven's Gate (1980),XXXX,1 Pdb Vote
Spoderman,Spider-Man: Across the Spider-Verse (2023),ENTP,28 Pdb Votes
"Pter Ptarker ""Spider-Rex""",Spider-Man: Across the Spider-Verse (2023),ENTP,22 Pdb Votes
Doctor Livesey,Treasure Island (1934),ENTP,2 Pdb Votes
Yuken Odajima,High & Low The Worst X (Cross),ENTP,11 Pdb Votes
Charger R/T,The Fast and the Furious (Film Franchise),ENTP,125 Pdb Votes
Form VI - Niman (Lightsaber Forms),Star Wars,ENTP,12 Pdb Votes
 Kenneth Wayne ,Smilin' Through (1932),ENTP,2 Pdb Votes
Bill Smith ,Come Live with Me (1941),ENTP,3 Pdb Votes
 Captain Jeffrey Spaulding,Animal Crackers (1930),XXXX,1 Pdb Vote
Petruchio,The Taming of the Shrew (1929),ENTP,10 Pdb Votes
Gabriele Amorth,The Pope's Exorcist (2023),ENTP,49 Pdb Votes
"Lyla ""LYrate Lifeform Approximation""",Spider-Man: Across the Spider-Verse (2023),ENTP,158 Pdb Votes
Henk Rogers,Tetris (2023),ENTP,39 Pdb Votes
"Mike ""Bugsy"" Moran",The Perfect Storm (2000),ENTP,4 Pdb Votes
María Álvarez,Bandidas,ENTP,3 Pdb Votes
Joe Walters,Monster House (2006),ENTP,4 Pdb Votes
Mr. Universe,Serenity (2005),ISTP,1 Pdb Vote
Logan,Malibu Rescue,ESFP,4 Pdb Votes
Marshall,Mr. Brooks (2007),ENTP,5 Pdb Votes
Alice Liddell (in childhood),Dreamchild (1985 film),ENTP,5 Pdb Votes
Chuck Tatum,Ace in the Hole (1951),ENTP,17 Pdb Votes
"Seth, God of Chaos",Night at the Museum: Kahmunrah Rises Again (2022),XXXX,1 Pdb Vote
Suneo Honekawa,Stand By Me Doraemon 2 (2020),XXXX,12 Pdb Votes
Лукас Линч,Linch,ENTP,33 Pdb Votes
Father Matthew Thomas,Priest (1994 film),XXXX,4 Pdb Votes
The Smile Entity,Smile,ENTP,39 Pdb Votes
Uncle Hobart,Ramona and Beezus (2010),ENTP,12 Pdb Votes
Paul Terenzi,Killer Klowns from Outer Space (1988),XXXX,4 Pdb Votes
Vincent Larchet,Le Prénom (2012),ENTP,13 Pdb Votes
Kairi Okayasu,Peach Girl (2017),XXXX,30 Pdb Votes
Prognosticator,A Ghost Story (2017),ENTP,4 Pdb Votes
Anadil,The School for Good and Evil,XXXX,8 Pdb Votes
Sherlock Holmes,Tom and Jerry Meet Sherlock Holmes,XXXX,4 Pdb Votes
Joel,Smile,ENTP,55 Pdb Votes
Miles Bron,Glass Onion: A Knives Out Mystery (2022),ENTP,524 Pdb Votes
Bartolomeo Bonelli,Smetto quando voglio (I can quit whenever I want),ENTP,9 Pdb Votes
Kolka (Колька),Walking the Streets of Moscow (Я шагаю по Москве),ENTP,10 Pdb Votes
Laszlo Sosa,The Gray Man,ENTP,13 Pdb Votes
A-Lan,Z-O-M-B-I-E-S (2018),ENTP,16 Pdb Votes
Don Rickles,The Irishman (2019),ENTP,2 Pdb Votes
Leo Köpernick,See How They Run (2022),ENTP,25 Pdb Votes
Dae Gil,The Witch: Part 2. The Other One,ENTP,9 Pdb Votes
"Bang Lee Onn ""Lobang""",Ah boys to men,ENTP,14 Pdb Votes
Scott,Wrong Turn (2003),ENTP,24 Pdb Votes
Ana Ceci Flores ''La mustia'',Perras 2011,ENTP,7 Pdb Votes
Husband,Windfall (2022),ENTP,10 Pdb Votes
Walter Nelson,Despicable Me (Franchise),ENTP,18 Pdb Votes
Sidney Falco,Sweet Smell of Success (1957),ENTP,17 Pdb Votes
Hank Fallon,White Heat (1949),XXXX,1 Pdb Vote
Adam Reed,The Adam Project,ENTP,179 Pdb Votes
Nick Feinstein,The Fallout,ENTP,46 Pdb Votes
Saki Matsuura,One Cut of the Dead,ENTP,6 Pdb Votes
Trey,Superhero Movie (2008),ENTP,9 Pdb Votes
Mambo,Happily N'Ever After,ENTP,31 Pdb Votes
Gonzo Gonzales,Die Wilden Kerle,ENTP,12 Pdb Votes
Alex West,Lara Croft: Tomb Raider (2001),ENTP,11 Pdb Votes
The Analyst,The Matrix Trilogy,ENTP,74 Pdb Votes
John Lennon (Help!),Help! (1965),ENTP,31 Pdb Votes
Sua,ATM: Er Rak Error (2012),ENTP,1 Pdb Vote
Garfield,Garfield: A Tail of Two Kitties,ENTP,12 Pdb Votes
Maneki-neko,As the Gods Will,ENTP,6 Pdb Votes
