char,movie,mbti,votes
Kopeikin,Journey into Fear (1943),ESTP,8 Pdb Votes
Tycho,Orion and the Dark (2024),XXXX,1 Pdb Vote
Johnny Cage,Mortal Kombat (2021 film),XXXX,1 Pdb Vote
Pushparaju,Pushpa,ESTP,10 Pdb Votes
Do Chang-hak,Asura: The City of Madness,ESTJ,1 Pdb Vote
Father Doug Williams,A Haunted House (2013),ISTP,7 Pdb Votes
Boar (villain),Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
Light,Orion and the Dark (2024),ESTP,10 Pdb Votes
Jimmy,Wreck-It Ralph (Franchise),ESTP,6 Pdb Votes
Турбо,Слово пацана. Кровь на асфальте / Slovo patsana,ESTP,98 Pdb Votes
Evan,Thanksgiving (2023),ESTP,10 Pdb Votes
Prince Tommy,Barbie As Rapunzel (2002),ESTP,3 Pdb Votes
Rok,4Kings,ESTP,31 Pdb Votes
Amnesia,Ofis Akademia,ESTP,14 Pdb Votes
Bleacher,Wonka (2023 Movie),ESTP,21 Pdb Votes
Randy Finkle,Totally Killer (2023),ESTP,14 Pdb Votes
Paul,Fair Play (2023),ESTP,15 Pdb Votes
Pepito,Madeline (1998),XXXX,1 Pdb Vote
Vivian,Fitting In (2023),ESTP,2 Pdb Votes
Choi Pro,Ballerina (2023),ESTP,44 Pdb Votes
Billy Brubaker,Summer Catch,XXXX,1 Pdb Vote
Bobby Swift,Cars (Franchise),ESTP,11 Pdb Votes
Marty Wolf,Big Fat Liar (2002),ESTP,6 Pdb Votes
Mr. Whiskers,The Voices (2014),ESTP,6 Pdb Votes
Mario,The Wages of Fear,ESTP,5 Pdb Votes
Uncle Mitya (дядя Митя),Love and Pigeons (Любовь и голуби),XXXX,4 Pdb Votes
Templeton the Rat,Charlotte's Web,ESTP,11 Pdb Votes
Dim,Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
"Sir Thoddeus ""Todd"" Sureblade",Nimona (2023),ESTP,81 Pdb Votes
Lloyd Abbott,Inventing the Abbotts (1997),ESTP,5 Pdb Votes
Goose,Vacations of Petrov and Vasechkin (1984),ESTP,7 Pdb Votes
John L. Bridges,Heaven's Gate (1980),XXXX,1 Pdb Vote
Harry Street,The Snows of Kilimanjaro (1952),ISTP,1 Pdb Vote
Signor Ugarte,Casablanca (1942),ESTP,5 Pdb Votes
Clifford Kellogg,Asteroid City,ESTP,40 Pdb Votes
Mr. G,Bottoms,ESTP,14 Pdb Votes
Kyle Williams,Legion (2010),ESTP,11 Pdb Votes
Sam Gillman,"Ruby Gillman, Teenage Kraken (2023)",ESTP,16 Pdb Votes
Ed Munn,Stella Dallas (1937),XXXX,1 Pdb Vote
Bantu,Ala Vaikunthapurramuloo (2020),ESTP,12 Pdb Votes
Young Macintosh,Brave (2012),ESTP,17 Pdb Votes
Vilmer Slaughter,The Texas Chainsaw Massacre (Franchise),ESTP,21 Pdb Votes
Donald J. Trump,Home Alone,ESTP,38 Pdb Votes
Jason Stevens,The Ultimate Gift (2006),ESTP,2 Pdb Votes
Raphael,Teenage Mutant Ninja Turtles: Mutant Mayhem,ESTP,146 Pdb Votes
Stalingrad,EMESIS BLUE,ESTP,21 Pdb Votes
Lina Smit,The Brothers Grimsby (2016),ESTP,3 Pdb Votes
Calvin,Litle Man - (2006),ESTP,7 Pdb Votes
Esteban Vihaio,Kill Bill (2003),ESTP,12 Pdb Votes
Alien Child,Her (2013),ESTP,19 Pdb Votes
Naser akbari (aghaJoon),Once upon a time on Mars (روزی روزگاری در مریخ),ESTP,17 Pdb Votes
Piper,Drive Angry (2011),ESTP,4 Pdb Votes
Rocky the Raccoon,The Incredibles (Franchise),ESTP,4 Pdb Votes
ICE,High and Low,ESTP,14 Pdb Votes
Jake,Bones and All,ESTP,19 Pdb Votes
Joe,Killer Klowns from Outer Space (1988),XXXX,1 Pdb Vote
Spikey,Killer Klowns from Outer Space (1988),XXXX,5 Pdb Votes
Rival Ken,Barbie (2023),ESTP,138 Pdb Votes
Ethan,Ice Age (Franchise),ESTP,21 Pdb Votes
Yuken Odajima (killer from housen),High and Low,ESTP,22 Pdb Votes
Baek Hyun-Jin,20th Century Girl (2022),ESTP,94 Pdb Votes
Vinnie Genzianna,"Hey, Good Lookin' (1982)",ESTP,38 Pdb Votes
AJ Gilbride,Barbarian (2022),ESTP,118 Pdb Votes
Paul Krendler,Hannibal (2001),ESTP,7 Pdb Votes
Bill Boss,The Human Centipede,ESTP,30 Pdb Votes
Köfte Necmi,Çakallarla Dans,XXXX,3 Pdb Votes
Han Chi-Won,A Violent Prosecutor,ESTP,26 Pdb Votes
Vance Hopper,The Black Phone,ESTP,116 Pdb Votes
Lloyd Hansen,The Gray Man,ESTP,222 Pdb Votes
Tero,Hatching,ESTP,12 Pdb Votes
Yong Du,The Witch: Part 2. The Other One,ESTP,5 Pdb Votes
Prince,Happily N'Ever After,ESTP,12 Pdb Votes
Adorabeezle Winterpop,Wreck-It Ralph (Franchise),ESTP,18 Pdb Votes
Kheng,My True Friend (2012),ESTP,13 Pdb Votes
"Nick ""Big Nick"" O'Brien",Den of Thieves,ESTP,35 Pdb Votes
Ben Ali Gator,Walt Disney's Fantasia (1940),ESTP,6 Pdb Votes
José Luis Torrente,"Torrente, el brazo tonto de la ley",ESTP,20 Pdb Votes
Sofía Ibar ''La manchada '' ,Perras 2011,ESTP,23 Pdb Votes
David,Bodies Bodies Bodies,ESTP,60 Pdb Votes
Aleksander Lubomirski,Suicide Room (2011) (Sala Samobójców),ESTP,29 Pdb Votes
Kate,The Weekend Away,ESTP,34 Pdb Votes
Wayne Gilroy,X (2022),ESTP,108 Pdb Votes
Jackson Hole,X (2022),ESTP,92 Pdb Votes
"Samuel ""Sam"" Drake",Uncharted (2022),ESTP,24 Pdb Votes
Tom Powers,The Public Enemy (1931),ESTP,2 Pdb Votes
Ruka Aizawa,Crows Zero (2007),ESFP,12 Pdb Votes
Sharon Ames,Gone,XXXX,1 Pdb Vote
Shinichiro Kosawa,One Cut of the Dead,ESTP,6 Pdb Votes
Harumi Higurashi,One Cut of the Dead,ESTP,4 Pdb Votes
Cyborg,Climax (2018),ESTP,4 Pdb Votes
Big Bear,Ong Bak: The Thai Warrior,ESTP,12 Pdb Votes
Humlae / Yacht,Ong Bak: The Thai Warrior,ESTP,5 Pdb Votes
Marcus,Bad Santa (2003- 2016),ESTP,17 Pdb Votes
Locke,In The Shadow Of The Moon (2019),ESTP,4 Pdb Votes
Tyler Nguyen-Baker,Turning Red (2022),ESTP,350 Pdb Votes
Julith,Dofus the Movie: Julith,ESTP,13 Pdb Votes
Lizzy,The Story of My Wife (2021),ESTP,3 Pdb Votes
Brad Cage,Army of the Dead / Army of Thieves (2021),ESTP,17 Pdb Votes
Travis,Beautiful Disaster,ESTP,29 Pdb Votes
Антон Мартынов,Univer. New Dorm,ESTP,72 Pdb Votes
Dusty Mayron,Daddy's Home,ESTP,75 Pdb Votes
Gutsy Smurf,The Smurfs (2011),ESTP,5 Pdb Votes
