char,movie,mbti,votes
Jacques Le Gris,The Last Duel (2021),ENTJ,75 Pdb Votes
Mona Lisa,Luca (2021),ENTJ,50 Pdb Votes
Henry McHenry,Annette (2021),ENTJ,32 Pdb Votes
Roxanne Chase-Feder,Grown Ups,ENTJ,53 Pdb Votes
Sarah Black,Red Notice (2021),ENTJ,208 Pdb Votes
King Edward,Outlaw King,ENTJ,12 Pdb Votes
Lord Nooth,Early Man (2018),ENTJ,2 Pdb Votes
Jelly Roll Morton,La leggenda del pianista sull'oceano,ENTJ,3 Pdb Votes
Lefty Ruggiero,Donnie Brasco (1997),ENTJ,55 Pdb Votes
Dr. Baek,The Witch: Part 1. The Subversion,ENTJ,16 Pdb Votes
Chernabog,Walt Disney's Fantasia (1940),ENTJ,25 Pdb Votes
Thomas,The Discovery (2017),ENTJ,15 Pdb Votes
PAL,The Mitchells vs. the Machines (2021),ENTJ,195 Pdb Votes
Sprotte,Die wilden Hühner (2006),ENTJ,31 Pdb Votes
Maya,Shiva Baby (2020),ENTJ,46 Pdb Votes
Princess Malucia,Barbie and the Secret Door,ENTJ,59 Pdb Votes
Carlo Maserati,Cars (Franchise),ENTJ,3 Pdb Votes
Captain Gutt,Ice Age (Franchise),ENTJ,71 Pdb Votes
Shyne,Barbie: A Fashion Fairytale,ENTJ,35 Pdb Votes
Pierce Patchett,L.A. Confidential (1997),ENTJ,12 Pdb Votes
Dudley Smith,L.A. Confidential (1997),ENTJ,33 Pdb Votes
Old Woman,Insidious,ENTJ,56 Pdb Votes
Zeus,Real Steel (2011),ENTJ,12 Pdb Votes
Raimunda,Volver (2006),ENTJ,33 Pdb Votes
El manager,Metegol (Underdogs),XXXX,8 Pdb Votes
Kayla,Tom and Jerry (2021),ENTJ,51 Pdb Votes
Papa Doc,8 Mile (2002),ENTJ,44 Pdb Votes
The First Carnotaurus,Dinosaur (2000),ENTJ,19 Pdb Votes
Butter Pants “Do the Roar Kid”,Shrek (Franchise),ENTJ,92 Pdb Votes
Robespierre,Mr. Peabody & Sherman (2014),ENTJ,22 Pdb Votes
Walburga Black,Harry Potter / Wizarding World Films,ENTJ,52 Pdb Votes
Capt. Billy Tyne,The Perfect Storm (2000),ENTJ,15 Pdb Votes
Lois Farrow,The Last Picture Show (1971),XXXX,5 Pdb Votes
Marla Grayson,I Care a Lot (2020),ENTJ,617 Pdb Votes
Mary Mason,American Mary (2013),ENTJ,38 Pdb Votes
Sparky Polastri,Bring It On (franchise),XXXX,5 Pdb Votes
Cleon,The Warriors (1979),ENTJ,11 Pdb Votes
Horvath,The Sorcerer’s Apprentice (2010),ENTJ,7 Pdb Votes
Karabas-Barabas,The Adventures of Buratino (Priklyucheniya Buratino; 1976),ENTJ,20 Pdb Votes
Lady Margaret Cronin,Waterloo Bridge,ENTJ,3 Pdb Votes
The Killer,Faster (2010),ENTJ,10 Pdb Votes
Calvin,Life (2017),ENTJ,46 Pdb Votes
Reggie Kray,Legend (2015),ENTJ,171 Pdb Votes
"Jerry ""The Beast"" Manning",Shot Caller (2017),ENTJ,11 Pdb Votes
Anne Boleyn,The Other Boleyn Girl,ENTJ,68 Pdb Votes
Mabruk,The Last Unicorn (1982),ENTJ,6 Pdb Votes
Adrian Forrester,The Crush (1993),ENTJ,200 Pdb Votes
Liwen Shao,Pacific Rim (2013),ENTJ,8 Pdb Votes
Drake,The Pebble and the Penguin (1995),ENTJ,24 Pdb Votes
Sith Order,Star Wars,ENTJ,213 Pdb Votes
Jane,Twilight (Franchise),ENTJ,215 Pdb Votes
Walter “Robby” Robinson,Spotlight (2015),ENTJ,23 Pdb Votes
Commander Ernest Krause,Greyhound (2020),ENTJ,10 Pdb Votes
Joe Clark,Lean on Me (1989),ENTJ,47 Pdb Votes
The Fallen,Transformers (Bayverse),ENTJ,68 Pdb Votes
Henry Blackwood,Sherlock Holmes,ENTJ,51 Pdb Votes
David,The Guest (2014),ENTJ,56 Pdb Votes
Lorraine Broughton,Atomic Blonde (2017),ENTJ,140 Pdb Votes
Massie Block,The Clique,ENTJ,86 Pdb Votes
Sahir Khan,"Dhoom (Film Trilogy, 2004-2013)",ENTJ,19 Pdb Votes
Kabir,"Dhoom (Film Trilogy, 2004-2013)",ENTJ,14 Pdb Votes
Elena Lincoln,Fifty Shades of Grey (2015),ENTJ,34 Pdb Votes
"Spencer ""Big Daddy"" Bennett",Django Unchained (2012),ENTJ,28 Pdb Votes
Katharine Hepburn,The Aviator,ENTJ,23 Pdb Votes
Victor Ziegler,Eyes Wide Shut (1999),ENTJ,27 Pdb Votes
Petra von Kant,The Bitter Tears of Petra von Kant (1972),ENTJ,9 Pdb Votes
Gail,Sin City (franchise),ENTJ,19 Pdb Votes
Lilith Ritter,Nightmare Alley (2021),ENTJ,155 Pdb Votes
Lou,UglyDolls,ENTJ,155 Pdb Votes
Chester V,Cloudy with a Chance of Meatballs (2009),ENTJ,90 Pdb Votes
Constance Nebbercracker,Monster House (2006),ENTJ,52 Pdb Votes
Jim Malone,The Untouchables (1987),ENTJ,53 Pdb Votes
Tyler Winklevoss,The Social Network (2010),ENTJ,66 Pdb Votes
Nyra,Legend of the Guardians: The Owls of Ga'Hoole,ENTJ,39 Pdb Votes
Frank,Once Upon a Time in the West (1968),ENTJ,60 Pdb Votes
Adrian Griffin,The Invisible Man (2020),ENTJ,98 Pdb Votes
Riza Stravros,Men in Black,ENTJ,16 Pdb Votes
Serleena Xath,Men in Black,ENTJ,28 Pdb Votes
Spitz,The Call of the Wild (2020),ENTJ,13 Pdb Votes
The Bug / Edgar the Bug,Men in Black,ENTJ,28 Pdb Votes
Sean Ambrose,Mission: Impossible (Franchise),ENTJ,18 Pdb Votes
"Dr. Xander ""Smolder"" Bravestone",Jumanji (Reboot),ENTJ,87 Pdb Votes
Elaine Crocker,Spy (2015),ENTJ,12 Pdb Votes
Michael Sullivan,Sleepers (1996),ENTJ,31 Pdb Votes
Rebekah “Bosley”,Charlie's Angels (2019),ENTJ,45 Pdb Votes
Henry Sturges,Abraham Lincoln: Vampire Hunter,ENTJ,6 Pdb Votes
Derek Huff,Step Brothers (2008),ENTJ,39 Pdb Votes
Katja Bellini,Er ist wieder da (2015) (Look Who's Back),ENTJ,10 Pdb Votes
Mrs. Baylock (1976),The Omen (1976),ENTJ,28 Pdb Votes
Damien Thorn (1976),The Omen (1976),ENTJ,31 Pdb Votes
Sophia,Bibi Und Tina (2014),ENTJ,16 Pdb Votes
Dr. Philip Sherman,Finding Nemo (Franchise),ENTJ,105 Pdb Votes
Postmaster (Jesper's Father),Klaus (2019),ENTJ,54 Pdb Votes
Rothbart,Barbie of Swan Lake (2003),ENTJ,42 Pdb Votes
Laverna,Barbie: Fairytopia (2005),ENTJ,67 Pdb Votes
Alameda Slim,Home on the Range (2004),ENTJ,43 Pdb Votes
Oliver Wood,Harry Potter / Wizarding World Films,ENTJ,295 Pdb Votes
Trudi Fraser,Once Upon a Time in... Hollywood (2019),ENTJ,209 Pdb Votes
Sun Fac,Star Wars,ENTJ,15 Pdb Votes
Mark Baum,The Big Short (2015),ENTJ,181 Pdb Votes
Angelique Bouchard,Dark Shadows (2012),ENTJ,287 Pdb Votes
Lenny Miller,Anna (2019),ENTJ,59 Pdb Votes
Olga,Anna (2019),ENTJ,48 Pdb Votes
Josephine Chesterfield,The Hustle (2019),ENTJ,136 Pdb Votes
Simon Skinner,The Cornetto Trilogy,ENTJ,49 Pdb Votes
Carl Bruner,Ghost (1990),ENTJ,28 Pdb Votes
Victoria Sutherland,Twilight (Franchise),ENTJ,181 Pdb Votes
Toad,Flushed Away (2006),ENTJ,61 Pdb Votes
Steven Walker,Fear (1996),ENTJ,36 Pdb Votes
Melisha Tweedy,Chicken Run (2000),ENTJ,144 Pdb Votes
Eric Gordon,Billy Madison (1995),ENTJ,20 Pdb Votes
Toymaker,Spy Kids (2001),ENTJ,18 Pdb Votes
Gregorio Cortéz,Spy Kids (2001),ENTJ,51 Pdb Votes
Wilford,Snowpiercer (2013),ENTJ,76 Pdb Votes
Santino D'Antonio,John Wick,ENTJ,92 Pdb Votes
Jean Girard,Talladega Nights: The Ballad of Ricky Bobby (2006),ENTJ,19 Pdb Votes
Lucy Stevens,Pokémon: Detective Pikachu (2019),ENTJ,61 Pdb Votes
