char,movie,mbti,votes
Methuselah,MonsterVerse,ISTJ,12 Pdb Votes
Leonardo,Teenage Mutant Ninja Turtles (2014),ISTJ,71 Pdb Votes
Argus Filch,Harry Potter / Wizarding World Films,ISTJ,115 Pdb Votes
Alex Ulloa,"The Body ""El Cuerpo"" (2012)",ISTJ,10 Pdb Votes
Junior,Storks (2016),ISTJ,44 Pdb Votes
O Doutrinador/ Miguel Montessanti,O Doutrinador,ISTJ,26 Pdb Votes
Maquina,Ferdinand (Olé el Viaje de Ferdinand),ISTJ,9 Pdb Votes
Mitch,Old School (2003),ISTJ,11 Pdb Votes
Ben Weatherstaff,The Secret Garden (1993),ISTJ,4 Pdb Votes
Mason,Madagascar (Franchise),ISTJ,101 Pdb Votes
Chuzzlewit,Barbie In A Christmas Carol,ISTJ,17 Pdb Votes
Grimsby,The Little Mermaid (1989),ISTJ,39 Pdb Votes
Guard,Stardust (2007),ISTJ,16 Pdb Votes
Godefroy de Montmirail,Les Visiteurs,ISTJ,34 Pdb Votes
The Blind Man,Don't Breathe (2016),ISTJ,80 Pdb Votes
Paddy Button,The Blue Lagoon (1980),ISTJ,7 Pdb Votes
David Moreau / The Prince,Black Swan (2010),ISTJ,32 Pdb Votes
Mark,Possession (1981),ISTJ,111 Pdb Votes
Aparichit,Aparichit,ISTJ,14 Pdb Votes
Jenny Parker,Adventures in Babysitting (2016),ISTJ,96 Pdb Votes
Linthorn,Enola Holmes (2020),ISTJ,25 Pdb Votes
Christopher Da Silva,Silent Hill (2006-2012),ISTJ,15 Pdb Votes
James Turner,Death Note (2017),ISTJ,20 Pdb Votes
Master,Viy 2: Journey to China (2020),XXXX,1 Pdb Vote
Frank Darbo / Crimson Bolt,Super (2010),ISTJ,53 Pdb Votes
Doggy,The Room (2003),ISTJ,61 Pdb Votes
Simon J. Paladino “Gazerbeam”,The Incredibles (Franchise),ISTJ,19 Pdb Votes
"Jon Martello, Jr.",Don Jon (2013),ISTJ,40 Pdb Votes
Soon-Yi,A Werewolf Boy (2012),ISTJ,6 Pdb Votes
André Matias,Tropa de Elite (Franchise),ISTJ,152 Pdb Votes
Nandkishore Awasthi,Taare Zameen Par (Like Stars On Earth),ISTJ,26 Pdb Votes
Shane Wolfe,The Pacifier (2005),ISTJ,32 Pdb Votes
Grace Stewart,The others (2001),ISTJ,89 Pdb Votes
Duncan Mee,We Bought A Zoo,XXXX,8 Pdb Votes
Mrs. Medlock,The Secret Garden (1993),ISTJ,19 Pdb Votes
Lord Archibald Craven,The Secret Garden (1993),ISTJ,34 Pdb Votes
Sheba,Django Unchained (2012),ISTJ,8 Pdb Votes
McKenzie,Teen Beach Movie,ISTJ,149 Pdb Votes
John Hartigan,Sin City (franchise),ISTJ,41 Pdb Votes
Dora,Central Station (1998),ISTJ,49 Pdb Votes
Rev. Graham Hess,Signs (2002),ISTJ,50 Pdb Votes
Jeannette Walls,The Glass Castle (2017),ISTJ,45 Pdb Votes
Ed Masry,Erin Brockovich (2000),ISTJ,18 Pdb Votes
Principal Ron Duvall,Mean Girls (2004),ISTJ,123 Pdb Votes
Ellison Oswalt,Sinister Series,ISTJ,86 Pdb Votes
Eliot Ness,The Untouchables (1987),ISTJ,32 Pdb Votes
Kimmy Jin,Pitch Perfect (Series),ISTJ,21 Pdb Votes
Dr. Griffiths,Tinker Bell (2008),ISTJ,49 Pdb Votes
Thomas Hewitt / Leatherface,The Texas Chainsaw Massacre (Franchise),ISTJ,99 Pdb Votes
Queen Victoria,The Young Victoria (2009),ISTJ,13 Pdb Votes
Byakuya Kuchiki,Bleach (2018),ISTJ,8 Pdb Votes
