char,movie,mbti,votes
Ledoux,The Phantom of the Opera (1925),INTP,3 Pdb Votes
Jindiao,Kung Fu Panda (Franchise),INTP,12 Pdb Votes
Andy,Totally Fucked Up (1993),INTP,38 Pdb Votes
Kazuki Miyaichi,Hot Road (2014),INTP,2 Pdb Votes
Gonk Droid,Star Wars,INTP,26 Pdb Votes
Dr. Einstein,Arsenic and Old Lace,INTP,19 Pdb Votes
Louis Wain,The Electrical Life of Louis Wain (2021),INTP,79 Pdb Votes
Francesco Dellamorte,Cemetery Man (1994),INTP,27 Pdb Votes
Lisa Montez,High School Musical (Film Trilogy),INTP,6 Pdb Votes
Archibald Williams,My Suicide (Archie’s Final Project),INTP,11 Pdb Votes
Coriakin,The Chronicles of Narnia (Film Trilogy),INTP,7 Pdb Votes
Halley Brandon,Frenemies (2012),INTP,27 Pdb Votes
Kiki,Wild Child (2008),INTP,21 Pdb Votes
Otis,Asterix and Obelix (Franchise),INTP,40 Pdb Votes
Richard “Rick” Wershe Jr.,White Boy Rick,XXXX,4 Pdb Votes
Separatist Alliance,Star Wars,INTP,37 Pdb Votes
Semyon Gorbunkov,The Diamond Arm (1969),INTP,18 Pdb Votes
Sqweep,Monsters vs. Aliens,INTP,14 Pdb Votes
General Glozelle,The Chronicles of Narnia (Film Trilogy),INTP,5 Pdb Votes
Catherine Llewellyn,Proof (2005),INTP,12 Pdb Votes
Steve Wozniak,Steve Jobs (2015),INTP,21 Pdb Votes
Russian Ambassador,Dr. Strangelove (1964),INTP,7 Pdb Votes
Alex,Elephant (2003),INTP,70 Pdb Votes
Alisa Selezneva,Guest from the Future (1985),INTP,19 Pdb Votes
Richard Brown,The Professor (2018),INTP,30 Pdb Votes
Vivian Wembley,Transformers (Bayverse),INTP,8 Pdb Votes
Momoko Ryugasaki,Kamikaze Girls (2004),INTP,230 Pdb Votes
Marie,Water Lilies (Naissance des Pieuvres),INTP,92 Pdb Votes
Dan Mulligan,Begin Again (2013),INTP,46 Pdb Votes
Piter de Vries,Dune (2021),INTP,76 Pdb Votes
The Doorknob,Alice in Wonderland (1951),INTP,39 Pdb Votes
Omar Ulmer,Inglourious Basterds (2009),INTP,31 Pdb Votes
George Almore,Archive (2020),INTP,12 Pdb Votes
Dave Stutler,The Sorcerer’s Apprentice (2010),INTP,20 Pdb Votes
Benjamin,Benjamin (2018),INTP,14 Pdb Votes
Steve Zissou,The Life Aquatic with Steve Zissou (2004),INTP,63 Pdb Votes
Marvin,Daddy Day Care (2003),INTP,51 Pdb Votes
Rizwan Khan,My Name Is Khan,INTP,46 Pdb Votes
Jordan,Inside Out (Franchise),INTP,200 Pdb Votes
Doug,Descendants (Franchise),INTP,144 Pdb Votes
Deon,Chappie (2015),INTP,32 Pdb Votes
Daniel Middleton,Hot Summer Nights (2017),INTP,41 Pdb Votes
Charles,Four Weddings and a Funeral (1994),INTP,94 Pdb Votes
Cole Johnson,The Babysitter,INTP,251 Pdb Votes
Robert Capa,Sunshine (2007),INTP,54 Pdb Votes
Tom Reagan,Miller's Crossing (1990),INTP,47 Pdb Votes
Seligman,Nymphomaniac (2013),INTP,78 Pdb Votes
Blackberry,Watership Down (1978),INTP,8 Pdb Votes
Priscilla,Rango,INTP,52 Pdb Votes
Zep Hindle,Saw Series (2004),INTP,66 Pdb Votes
Ian Garvin,Avatar (Franchise),INTP,19 Pdb Votes
Benjamin Ballon,The Pink Panther (film series),INTP,2 Pdb Votes
Stuart Besser,Kate & Leopold,INTP,14 Pdb Votes
Kevin,Sin City (franchise),INTP,40 Pdb Votes
Chema,Tesis / Thesis (1996),INTP,78 Pdb Votes
Pete,A Clockwork Orange (1971),INTP,97 Pdb Votes
William of Baskerville,The Name of the Rose (1986),INTP,75 Pdb Votes
Q,James Bond Film Series,INTP,208 Pdb Votes
Glimmer,Tinker Bell (2008),INTP,21 Pdb Votes
Agent M / Molly Wright,Men in Black,INTP,66 Pdb Votes
Jackson Curtis,2012 (2009 disaster film),INTP,31 Pdb Votes
Dr. Artemus Bradford,Inspector Gadget,INTP,5 Pdb Votes
Trevor Reznick,The Machinist (2004),INTP,135 Pdb Votes
Eliza Zambi,Z-O-M-B-I-E-S (2018),INTP,78 Pdb Votes
Martin Lang,The Killing of a Sacred Deer (2017),INTP,107 Pdb Votes
Frank Tupelo/Alexander Pearce,The Tourist (2010),INTP,101 Pdb Votes
Chad Kaplan,Resident Evil,INTP,8 Pdb Votes
Charlie Walker,Scream (Franchise),INTP,136 Pdb Votes
Daniel Matthews,Saw Series (2004),INTP,169 Pdb Votes
The Grinch,The Grinch (2018),INTP,294 Pdb Votes
Robert Graysmith,Zodiac (2007),INTP,261 Pdb Votes
Unferth,Beowulf,INTP,18 Pdb Votes
Humbert Humbert,Lolita (1962),INTP,32 Pdb Votes
Finch Crossley “Foxface”,The Hunger Games (Franchise),INTP,301 Pdb Votes
Joel Glicker,The Addams Family,INTP,220 Pdb Votes
