char,movie,mbti,votes
Jenny Portman,Raising Helen (2004),ESFJ,12 Pdb Votes
Robert,Alone,ESFJ,3 Pdb Votes
Clarissa Dovey,The School for Good and Evil,ESFJ,41 Pdb Votes
Baker Smurf,The Smurfs (2011),ESFJ,3 Pdb Votes
Judy,Fred: The Movie,XXXX,11 Pdb Votes
Mother,Mother (2009 Madeo),ESFJ,19 Pdb Votes
Sal Bertolinni (Colonel Stars-and-Stripes),Kick-Ass (2010),ESFJ,15 Pdb Votes
Hal,WALL-E (2008),ESFJ,32 Pdb Votes
Eda,Recep İvedik 4,ESFJ,3 Pdb Votes
Buddy,Free Guy (2021),ESFJ,111 Pdb Votes
Kailani Laguatan,Journey to the Center of the Earth / Journey 2: The Mysterious Island,ESFJ,15 Pdb Votes
Darling,Lady and the Tramp (1955),ESFJ,12 Pdb Votes
Kristen,Think Like a Man (2012),ESFJ,14 Pdb Votes
Mrs. Jumbo,Dumbo (1941),ESFJ,25 Pdb Votes
Hundun,Kung Fu Panda (Franchise),XXXX,3 Pdb Votes
Detective Squirrel,Cold Eyes,XXXX,5 Pdb Votes
Aunt Abby Brewster,Arsenic and Old Lace,ESFJ,19 Pdb Votes
Starla Grady,"Slap her, she's French (She gets what she wants)",ESFJ,6 Pdb Votes
Gemma Bovery,Gemma Bovery,ESFJ,5 Pdb Votes
Lisa,Blockers (2018),ESFJ,8 Pdb Votes
Shannon Bell,Cannibal! The Musical,XXXX,4 Pdb Votes
Wendy Darling,Peter Pan & Wendy (2021),ESFJ,18 Pdb Votes
Suzette,Red Riding Hood (2011),XXXX,8 Pdb Votes
Priya,Krrish (Film Series),ESFJ,6 Pdb Votes
"Samantha ""Sam"" Fraser",Fear Street (Franchise),ESFJ,604 Pdb Votes
Kelly Porter,The Stepfather (2009),ESFJ,4 Pdb Votes
Darla,The Little Rascals (1994),ESFJ,49 Pdb Votes
Karin Lane,World War Z (2013),ESFJ,6 Pdb Votes
PR-T,WALL-E (2008),ESFJ,14 Pdb Votes
Mary,WALL-E (2008),ESFJ,17 Pdb Votes
Jane,Shutter (2004),ESFJ,5 Pdb Votes
Guy,Free Guy (2021),ESFJ,455 Pdb Votes
Nora,Warm Bodies (2013),ESFJ,11 Pdb Votes
Smurfette,The Smurfs (2011),ESFJ,62 Pdb Votes
Patty Peterson,Mr. Peabody & Sherman (2014),ESFJ,14 Pdb Votes
