char,movie,mbti,votes
Trindade,Cabras da Peste,ISFJ,8 Pdb Votes
BURN-E,WALL-E (2008),ISFJ,11 Pdb Votes
Nadia,The Diamond Arm (1969),ISFJ,6 Pdb Votes
Kevin,Warm Bodies (2013),ISFJ,6 Pdb Votes
Princess Courtney,Barbie in Rock 'N Royals (2015),ISFJ,63 Pdb Votes
Behemoth,MonsterVerse,ISFJ,17 Pdb Votes
Josh Valentine,Godzilla vs. Kong,ISFJ,9 Pdb Votes
Fa Li,Mulan (Franchise),ISFJ,44 Pdb Votes
Thomas,Pocahontas (1995),ISFJ,40 Pdb Votes
Alice’s Sister,Alice in Wonderland (1951),ISFJ,33 Pdb Votes
Anne Best,Midway (2019),XXXX,3 Pdb Votes
Princess Catania,Barbie Mariposa,ISFJ,67 Pdb Votes
Trey,Sunshine (2007),ISFJ,13 Pdb Votes
Rie Higashi,The World Of Kanako (2014),ISFJ,7 Pdb Votes
Queen Athena,The Little Mermaid (1989),ISFJ,36 Pdb Votes
Boxer,Animal Farm (1954),ISFJ,21 Pdb Votes
Paul Hackett,After Hours (1985),ISFJ,33 Pdb Votes
Henry Lipkin,Good Will Hunting (1997),ISFJ,6 Pdb Votes
Stella,"Interstella 5555: The 5tory of the 5ecret 5tar 5ystem (2003) (インターステラ5555, Intāsutera Fō Faibu, ""Four Five"")",ISFJ,29 Pdb Votes
Amy Herman,Megan Is Missing (2011),ISFJ,98 Pdb Votes
"Edward ""Ned"" Plimpton",The Life Aquatic with Steve Zissou (2004),ISFJ,44 Pdb Votes
Arlene,13 going on 30 (2004),ISFJ,29 Pdb Votes
Tom,Good Will Hunting (1997),ISFJ,13 Pdb Votes
Wendolene Ramsbottom,Wallace and Gromit,ISFJ,25 Pdb Votes
Nathan Sears,Final Destination 5 (2011),ISFJ,5 Pdb Votes
Reuben Feffer,Along Came Polly (2004),ISFJ,61 Pdb Votes
Sy Parrish,One Hour Photo (2002),ISFJ,90 Pdb Votes
Azula,The Last Airbender (2010),ISFJ,67 Pdb Votes
Aaron,Creep,ISFJ,82 Pdb Votes
Ms. Sarah Madison,Detachment,ISFJ,12 Pdb Votes
Willy,Free Willy (1993-),ISFJ,4 Pdb Votes
Grace Cahill,Brothers (2009),ISFJ,22 Pdb Votes
Bonnie's Mom,Toy Story (Franchise),ISFJ,18 Pdb Votes
Theresa Gardner,Color Out of Space,XXXX,13 Pdb Votes
Sarah,My Bloody Valentine (2009),XXXX,21 Pdb Votes
Pygar,Barbarella,ISFJ,3 Pdb Votes
King Randolph,Barbie In The 12 Dancing Princesses (2006),ISFJ,28 Pdb Votes
Kim Ja-Hong,Along With The Gods,ISFJ,10 Pdb Votes
Glowworm,James and the Giant Peach (1996),ISFJ,9 Pdb Votes
Dr. Preeti Sikka Singh,Kabir Singh,ISFJ,45 Pdb Votes
Captain James Nicholls,War Horse (2011),XXXX,10 Pdb Votes
Heather,How to Train Your Dragon (Franchise),ISFJ,151 Pdb Votes
Dawn Wiener,Welcome to the Dollhouse (1995),ISFJ,83 Pdb Votes
Barbie,The Barbie Diaries,ISFJ,90 Pdb Votes
Julia Cotton,Hellraiser,ISFJ,50 Pdb Votes
Amelia Fanning,The Babadook (2014),ISFJ,75 Pdb Votes
