char,movie,mbti,votes
Mrs. Grunion,Mr. Peabody & Sherman (2014),ESTJ,32 Pdb Votes
Tybalt Capulet,Romeo + Juliet (1996),ESTJ,22 Pdb Votes
Colonel Ben Drask,Don’t Look Up (2021),ESTJ,15 Pdb Votes
Capt. Linda Greenlaw,The Perfect Storm (2000),ESTJ,8 Pdb Votes
Otulissa,Legend of the Guardians: The Owls of Ga'Hoole,ESTJ,18 Pdb Votes
Lady Bracknell,The Importance of Being Earnest (2002),ESTJ,3 Pdb Votes
Valerie Da Vinci,Despicable Me (Franchise),ESTJ,37 Pdb Votes
Linda Thurman,Locked Down (2021),XXXX,6 Pdb Votes
Aunt Viv Ashe,Beverly Hills Chihuahua,ESTJ,16 Pdb Votes
Billy Garibaldi III,A Recipe for Seduction (2020),ESTJ,6 Pdb Votes
Big Red,Bring It On (franchise),ESTJ,25 Pdb Votes
Emma Watson,This Is the End (2013),ESTJ,31 Pdb Votes
Hector (The Concierge),Home Alone,ESTJ,42 Pdb Votes
Meredith Vickers,Prometheus,ESTJ,32 Pdb Votes
Once-ler's Mother,The Lorax (2012),ESTJ,37 Pdb Votes
Frank McCallister,Home Alone,ESTJ,67 Pdb Votes
Barricade,Transformers (Bayverse),ESTJ,39 Pdb Votes
Colleen Peck,Morning Glory (2010),ESTJ,3 Pdb Votes
Big Boss Baby,Boss Baby (Franchise),ESTJ,12 Pdb Votes
Ms. Stout,The Search For Santa Paws,ESTJ,6 Pdb Votes
Don Andrés,La Leyenda de la Nahuala,ESTJ,20 Pdb Votes
Jack O’Donnell,Argo (2012),ESTJ,12 Pdb Votes
The King,Stardust (2007),ESTJ,23 Pdb Votes
Miss Gwyneth Harridan,Daddy Day Care (2003),ESTJ,5 Pdb Votes
Melissa Kitt,Black Christmas (2006),ESTJ,38 Pdb Votes
Dom,The Ritual,ESTJ,19 Pdb Votes
Veronica Clarke,Unpregnant (2020),ESTJ,35 Pdb Votes
Catherine Ballard,Crash (1996),ESTJ,24 Pdb Votes
Rachin,Les Choristes (2004),ESTJ,32 Pdb Votes
JC Wiatt,Baby Boom (1987),ESTJ,7 Pdb Votes
Nicole Maris,Drive Me Crazy (1999),ESTJ,17 Pdb Votes
Balrama,Mahabharat,ESTJ,7 Pdb Votes
Miss Harrison,Enola Holmes (2020),ESTJ,66 Pdb Votes
Thomas McGregor,Peter Rabbit (franchise),ESTJ,68 Pdb Votes
Annie Allerton,The Circle (2017),ESTJ,6 Pdb Votes
