char,movie,mbti,votes
Peter Friedkin,Final Destination 5 (2011),ENFJ,44 Pdb Votes
Jane Adler,It’s Complicated (2009),ENFJ,12 Pdb Votes
Bulda,Frozen (Franchise),ENFJ,33 Pdb Votes
Martin D. Ginsburg,On the Basis of Sex,ENFJ,3 Pdb Votes
Helen,Possession (1981),ENFJ,46 Pdb Votes
Helen Remington,Crash (1996),ENFJ,16 Pdb Votes
Clément Mathieu,Les Choristes (2004),ENFJ,43 Pdb Votes
Hubie DuBois,Hubie Halloween (2020),ENFJ,45 Pdb Votes
Creek,Trolls (2016),ENFJ,73 Pdb Votes
Akari Kashiwagi,Kimi no Me ga Toikakete Iru (Your Eyes Tell),ENFJ,72 Pdb Votes
Rose Da Silva,Silent Hill (2006-2012),ENFJ,36 Pdb Votes
Gwen,The Falling,ENFJ,2 Pdb Votes
Johnny Sameniego,McFarland USA,ENFJ,3 Pdb Votes
Carly Jones,House of Wax (2005),ENFJ,33 Pdb Votes
Rohan Raichand,Kabhi Khushi Kabhie Gham... (2001),ENFJ,29 Pdb Votes
Evelyn Johnson,Pearl Harbor,ENFJ,80 Pdb Votes
Krishna Mehra / Krrish,Krrish (Film Series),ENFJ,24 Pdb Votes
Marlene,Madagascar (Franchise),ENFJ,105 Pdb Votes
Grace Town,Chemical Hearts,ENFJ,67 Pdb Votes
Erin,The Texas Chainsaw Massacre (Franchise),ENFJ,65 Pdb Votes
Roquefort,The Aristocats (1970),ENFJ,30 Pdb Votes
Evelyn Robin,Christopher Robin (2018),ENFJ,18 Pdb Votes
Felipe,Eat Pray Love,ENFJ,22 Pdb Votes
Sloan,Wanted (2008),ENFJ,15 Pdb Votes
Bruno,Cinderella (1950),ENFJ,23 Pdb Votes
Mama Gump,Forrest Gump (1994),ENFJ,147 Pdb Votes
Derice Bannock,Cool Runnings (1993),ENFJ,19 Pdb Votes
Lucy,I Am Sam (2001),ENFJ,35 Pdb Votes
Malina,The Emperor's New Groove (2000),ENFJ,88 Pdb Votes
Jack Qwant,Bridget Jones's Diary (franchise),ENFJ,25 Pdb Votes
Alana,The Little Mermaid (1989),ENFJ,60 Pdb Votes
Tonowari,Avatar (Franchise),ENFJ,134 Pdb Votes
Captain Werner von Ebrennac,Le Silence de la Mer (The Silence of the Sea) (2004),ENFJ,12 Pdb Votes
The Duke,Salò o le 120 giornate di Sodoma (1975),ENFJ,44 Pdb Votes
Jim Trotter III,My Cousin Vinny (1992),ENFJ,16 Pdb Votes
Leo,The Vow (2012),ENFJ,65 Pdb Votes
Jane Callahan,The Barber of Siberia (1998),ENFJ,3 Pdb Votes
Keith,La La Land (2016),ENFJ,34 Pdb Votes
Rosalinda,Princess Protection Program (2009),ENFJ,81 Pdb Votes
Cinta,What's Up with Love? (2002),ENFJ,62 Pdb Votes
Imoguiri,The Platform / El Hoyo (2020),ENFJ,71 Pdb Votes
Shelly DeVoto,My Girl (Film Series),ENFJ,29 Pdb Votes
Rhonda,A Cinderella Story (2004),ENFJ,39 Pdb Votes
David Kammerer,Kill Your Darlings (2013),ENFJ,51 Pdb Votes
Al Powell,Die Hard,ENFJ,38 Pdb Votes
Peter Dawson,Heathers (1989),ENFJ,50 Pdb Votes
"Miss ""G"" Gribben",Cracks (2009),ENFJ,51 Pdb Votes
Coach,The Gentlemen (2019),ENFJ,80 Pdb Votes
Marisa Coulter,The Golden Compass (2007),ENFJ,49 Pdb Votes
Nika Boronina (2007),Hitman (Movie Franchise),ENFJ,5 Pdb Votes
Col. Dax,Paths of Glory (1957),ENFJ,49 Pdb Votes
Emma Woodhouse,Emma (1996),ENFJ,36 Pdb Votes
Woody,Footloose (1984),ESFJ,1 Pdb Vote
Aphrodite,Hercules (franchise),ENFJ,44 Pdb Votes
King Kong,King Kong (2005),ENFJ,122 Pdb Votes
Katrina “Treena” Clark,Me Before You (2016),ENFJ,36 Pdb Votes
Addison Rosalie Wells,Z-O-M-B-I-E-S (2018),ENFJ,156 Pdb Votes
"Jane Clayton, Baroness Greystoke / Jane Porter",The Legend of Tarzan (2016),ENFJ,36 Pdb Votes
Buster,Misery (1990),ENFJ,17 Pdb Votes
Isabella of Angoulême,Robin Hood (2010),XXXX,17 Pdb Votes
Mrs. Carmody (Mother Carmody),The Mist (2007),XXXX,58 Pdb Votes
Jorge Mario Bergoglio / Pope Francis,The Two Popes (2019),ENFJ,59 Pdb Votes
Carmen Lowell,The Sisterhood of the Traveling Pants (2005),ENFJ,72 Pdb Votes
Miss Mann,Scary Movie,ENFJ,9 Pdb Votes
Emily Spier,"Love, Simon (2018)",ENFJ,34 Pdb Votes
Satine,Moulin Rouge (2001),ENFJ,168 Pdb Votes
Jack,Red Shoes & The Seven Dwarfs (2019),ENFJ,14 Pdb Votes
Rosie Betzler,Jojo Rabbit (2019),ENFJ,333 Pdb Votes
Lavagirl,The Adventures of Sharkboy and Lavagirl (2005),ENFJ,214 Pdb Votes
Audrey Decker,The Goldfinch (2019),ENFJ,19 Pdb Votes
Gloria,Happy Feet (2006-2011),ENFJ,40 Pdb Votes
Prince Stefan,Barbie As Rapunzel (2002),ENFJ,37 Pdb Votes
Bené,City of God (2002),ENFJ,207 Pdb Votes
Queen Tara,Epic (2013),ENFJ,38 Pdb Votes
Georgiana Cavendish,The Duchess (2008),ENFJ,22 Pdb Votes
"Chris ""Oz"" Ostreicher",American Pie,ENFJ,72 Pdb Votes
Maggie Beauford,Lawless (2012),ENFJ,14 Pdb Votes
Emma Russell,MonsterVerse,ENFJ,33 Pdb Votes
Isabel Pullman,Wonder (2017),ENFJ,45 Pdb Votes
Brendan Conlon,Warrior (2011),ENFJ,37 Pdb Votes
Themistocles,300,ENFJ,41 Pdb Votes
Evie Grimhilde,Descendants (Franchise),ENFJ,635 Pdb Votes
Benjamin Florian,Descendants (Franchise),ENFJ,362 Pdb Votes
Hector,Troy (2004),ENFJ,201 Pdb Votes
Gene Meh,The Emoji Movie (2017),ENFJ,101 Pdb Votes
Ma,Room (2015),ENFJ,69 Pdb Votes
Brother Aidan,The Secret of Kells (2009),ENFJ,22 Pdb Votes
Him,Mother! (2017),ENFJ,119 Pdb Votes
Joan,Hereditary (2018),ENFJ,196 Pdb Votes
Lisa McDowell,Coming to America (1988),ENFJ,31 Pdb Votes
Prince Akeem of Zamunda,Coming to America (1988),ENFJ,69 Pdb Votes
Chloe Beale,Pitch Perfect (Series),ENFJ,228 Pdb Votes
Lumière,Beauty and the Beast (2017),ENFJ,40 Pdb Votes
Ray,Mid90s (2018),ENFJ,166 Pdb Votes
Lani Aliiki,Surf’s Up (2007),ENFJ,32 Pdb Votes
Poppa Henry,The Good Dinosaur (2015),ENFJ,19 Pdb Votes
Hattori Hanzō,Kill Bill (2003),ENFJ,97 Pdb Votes
Jenny Lind,The Greatest Showman (2017),ENFJ,138 Pdb Votes
Alita,Alita: Battle Angel (2019),ENFJ,323 Pdb Votes
Betsy,Taxi Driver (1976),ENFJ,213 Pdb Votes
Abigail Masham,The Favourite (2018),ENFJ,234 Pdb Votes
Danny,Cats Don't Dance (1997),ENFJ,66 Pdb Votes
Father Daniel Flynn/Dock O’Kelly,Bad Times at the El Royale (2018),ENFJ,30 Pdb Votes
Godfrey,Kingdom of Heaven (2005),ENFJ,45 Pdb Votes
5,9 (2009),ENFJ,108 Pdb Votes
Loretta,Moonstruck (1987),ENFJ,50 Pdb Votes
Alex Stewart,"Love, Rosie (2014)",ENFJ,136 Pdb Votes
Master Wu,The Lego Movie (Franchise),ENFJ,37 Pdb Votes
Eli Sunday,There Will Be Blood (2007),ENFJ,304 Pdb Votes
